Date, Open, High, Low, Close, Volume, OI
2020-06-10, 76.26, 76.545, 72.52, 72.59, 3362064, 0.0
2020-06-11, 74.23, 74.96, 73.3, 73.3, 373561, 0.0
2020-06-14, 71.82, 75.56, 71.68, 75.05, 1559025, 0.0
2020-06-15, 77.1, 78.07, 75.445, 76.51, 1648549, 0.0
2020-06-16, 76.8668, 76.93, 75.77, 75.93, 1051172, 0.0
2020-06-17, 75.18, 76.52, 74.915, 75.53, 4118365, 0.0
2020-06-18, 76.53, 77.18, 73.42, 73.98, 6164809, 0.0
2020-06-21, 73.26, 74.63, 72.96, 74.24, 962478, 0.0
2020-06-22, 75.13, 75.13, 74.04, 74.17, 1260590, 0.0
2020-06-23, 73.55, 73.86, 71.13, 71.45, 1467861, 0.0
2020-06-24, 71.15, 73.345, 71.04, 73.06, 1573876, 0.0
2020-06-25, 72.62, 73.32, 71.36, 71.79, 1791274, 0.0
2020-06-28, 72.63, 73.91, 72.03, 73.74, 1792586, 0.0
2020-06-29, 73.5991, 76.27, 73.3, 75.75, 2353289, 0.0
2020-06-30, 75.78, 76.71, 75.49, 76.27, 1977678, 0.0
2020-07-01, 77.18, 77.58, 76.13, 76.58, 1443655, 0.0
2020-07-05, 78.74, 78.7755, 77.56, 77.86, 2204171, 0.0
2020-07-06, 77.23, 77.5, 73.87, 74.01, 3836054, 0.0
2020-07-07, 74.55, 75.74, 74.01, 74.55, 2055846, 0.0
2020-07-08, 74.64, 74.97, 72.01, 72.91, 1667771, 0.0
2020-07-09, 72.96, 73.415, 72.22, 73.3, 1178870, 0.0
2020-07-12, 73.67, 73.84, 71.45, 71.65, 1836800, 0.0
2020-07-13, 69.99, 71.98, 69.96, 71.87, 1915697, 0.0
2020-07-14, 72.27, 73.75, 72.27, 73.54, 1768739, 0.0
2020-07-15, 73.17, 73.476, 72.165, 72.735, 1118012, 0.0
2020-07-16, 73.22, 73.67, 72.47, 73.5, 1220798, 0.0
2020-07-19, 73.11, 73.73, 72.51, 73.36, 1145007, 0.0
2020-07-20, 73.6799, 74.24, 72.95, 73.33, 1173383, 0.0
2020-07-21, 73.38, 74.14, 73.24, 73.81, 1003456, 0.0
2020-07-22, 73.66, 74.47, 72.87, 73.16, 908041, 0.0
2020-07-23, 73.11, 73.36, 71.56, 72.19, 1599302, 0.0
2020-07-26, 71.91, 72.695, 71.78, 72.58, 1272913, 0.0
2020-07-27, 72.6, 73.52, 72.38, 73.14, 1784421, 0.0
2020-07-28, 72.78, 73.6, 72.13, 73.55, 2054231, 0.0
2020-07-29, 72.6, 72.68, 71.71, 72.35, 1877202, 0.0
2020-07-30, 71.56, 71.93, 70.38, 71.93, 2562445, 0.0
2020-08-02, 71.87, 72.89, 71.47, 72.76, 1297328, 0.0
2020-08-03, 72.44, 73.07, 72.34, 72.61, 1866830, 0.0
2020-08-04, 72.94, 73.57, 72.56, 72.7, 1197335, 0.0
2020-08-05, 72.47, 72.935, 71.97, 72.6, 1614610, 0.0
2020-08-06, 72.53, 73.66, 72.37, 73.45, 1276370, 0.0
2020-08-09, 73.2, 74.43, 73.09, 74.41, 1172168, 0.0
2020-08-10, 74.91, 75.75, 73.76, 73.9, 1718277, 0.0
2020-08-11, 74.43, 74.7, 73.83, 74.13, 992140, 0.0
2020-08-12, 74.06, 75.05, 73.87, 74.47, 861683, 0.0
2020-08-13, 74.23, 74.71, 73.9, 74.32, 661063, 0.0
2020-08-16, 74.44, 75.46, 74.05, 74.41, 807057, 0.0
2020-08-17, 74.51, 75, 74.03, 74.52, 892894, 0.0
2020-08-18, 74.72, 74.925, 74.01, 74.13, 891101, 0.0
2020-08-19, 73.81, 74.31, 73.6, 74, 829228, 0.0
2020-08-20, 73.96, 73.98, 73.13, 73.92, 879361, 0.0
2020-08-23, 74.24, 75.57, 73.92, 75.56, 924766, 0.0
2020-08-24, 75.68, 76.19, 75.453, 75.88, 983206, 0.0
2020-08-25, 75.55, 76.23, 75.06, 75.83, 901066, 0.0
2020-08-26, 76.48, 77, 75.965, 76.53, 1198069, 0.0
2020-08-27, 76.71, 77.42, 76.13, 77.32, 931818, 0.0
2020-08-30, 76.76, 77.15, 76.1621, 76.44, 1058879, 0.0
2020-08-31, 76.24, 76.3475, 75.52, 76.25, 1055472, 0.0
2020-09-01, 76.67, 78.28, 76.5, 77.99, 1121764, 0.0
2020-09-02, 78.16, 78.28, 75.71, 76.34, 1873985, 0.0
