Date, Open, High, Low, Close, Volume, OI
2020-06-10, 75.39, 75.39, 72.52, 72.58, 1628520, 0.0
2020-06-11, 74.59, 74.61, 72.95, 72.95, 208688, 0.0
2020-06-14, 71.37, 73.9, 70.89, 73.68, 1019445, 0.0
2020-06-15, 75.94, 76.49, 73.73, 74.53, 2423623, 0.0
2020-06-16, 74.93, 75.19, 73.9725, 74.28, 1445680, 0.0
2020-06-17, 74.63, 75.15, 73.91, 74.5, 596877, 0.0
2020-06-18, 75.39, 75.69, 73.895, 74.95, 1468084, 0.0
2020-06-21, 74.3, 75.01, 73.48, 74.75, 642453, 0.0
2020-06-22, 75.49, 75.81, 74.59, 74.78, 748901, 0.0
2020-06-23, 73.93, 73.93, 72.19, 72.55, 969943, 0.0
2020-06-24, 72.17, 73.35, 71.61, 73.24, 1033046, 0.0
2020-06-25, 72.81, 73.35, 72.11, 72.44, 1030131, 0.0
2020-06-28, 73.5, 74.48, 72.005, 73.69, 854764, 0.0
2020-06-29, 73.04, 75.24, 72.79, 74.83, 1539581, 0.0
2020-06-30, 75.56, 75.63, 74, 74.27, 1144210, 0.0
2020-07-01, 75.39, 77.1, 74.745, 75.69, 1130279, 0.0
2020-07-05, 76.99, 77.41, 76.35, 77.16, 1458767, 0.0
2020-07-06, 76.48, 77.03, 75.6, 75.8, 1026295, 0.0
2020-07-07, 75.77, 76.45, 74.98, 75.43, 892906, 0.0
2020-07-08, 75.12, 75.68, 74.17, 74.38, 1145560, 0.0
2020-07-09, 74.36, 75.5, 74.29, 75.23, 1130212, 0.0
2020-07-12, 75.41, 76.66, 74.53, 75.68, 1715337, 0.0
2020-07-13, 75.29, 77.175, 74.84, 77.06, 1865060, 0.0
2020-07-14, 78.05, 79, 77.28, 78.71, 1566862, 0.0
2020-07-15, 78.15, 79.555, 78.03, 79.43, 1377963, 0.0
2020-07-16, 79.73, 79.98, 78.99, 79.41, 1716613, 0.0
2020-07-19, 79, 79.8, 78.51, 79.56, 1975567, 0.0
2020-07-20, 79.12, 83.92, 78.9054, 83.71, 3236387, 0.0
2020-07-21, 83.83, 86.4, 83.67, 85.25, 2333362, 0.0
2020-07-22, 85.33, 86.49, 85, 86.08, 1465472, 0.0
2020-07-23, 86.5, 87.24, 85.12, 85.73, 2464727, 0.0
2020-07-26, 85.74, 86.8912, 85.27, 85.9, 1146979, 0.0
2020-07-27, 85.97, 86.63, 85.01, 85.46, 1723164, 0.0
2020-07-28, 85.06, 86.2, 85.01, 85.99, 1423318, 0.0
2020-07-29, 85.13, 85.13, 84.025, 84.6, 1063485, 0.0
2020-07-30, 84.23, 85.09, 83.7, 85.07, 1235002, 0.0
2020-08-02, 84.97, 86.16, 84.745, 85.6, 578881, 0.0
2020-08-03, 84.71, 85.3, 84.5, 84.9, 1231760, 0.0
2020-08-04, 85.6, 86.97, 85, 86.96, 1020465, 0.0
2020-08-05, 86.53, 87.39, 86.53, 87.37, 1104703, 0.0
2020-08-06, 87.06, 88.63, 86.81, 88.6, 1162545, 0.0
2020-08-09, 89.16, 90.64, 89.05, 89.87, 1660138, 0.0
2020-08-10, 90.48, 91.3, 89.81, 90.4, 1271513, 0.0
2020-08-11, 90.61, 90.99, 89.87, 90.34, 1271586, 0.0
2020-08-12, 90.02, 90.02, 88.25, 88.49, 1285074, 0.0
2020-08-13, 88.5, 89.455, 88.01, 88.93, 1109296, 0.0
2020-08-16, 89.25, 89.53, 88.37, 88.66, 1177372, 0.0
2020-08-17, 88.96, 89.4763, 88.3776, 88.57, 756676, 0.0
2020-08-18, 88.46, 89.05, 87.76, 88.08, 1199728, 0.0
2020-08-19, 87.67, 88.3509, 86.89, 87.21, 819713, 0.0
2020-08-20, 87.04, 87.44, 86.46, 86.99, 913074, 0.0
2020-08-23, 87.25, 87.91, 86.7, 86.88, 1396741, 0.0
2020-08-24, 87.46, 87.84, 86.17, 86.42, 985451, 0.0
2020-08-25, 86.07, 87.24, 85.4201, 86.86, 858835, 0.0
2020-08-26, 87.44, 87.55, 85.965, 86.33, 886848, 0.0
2020-08-27, 86.09, 86.5, 85.52, 86.48, 960856, 0.0
2020-08-30, 85.97, 86.665, 85.69, 85.8, 910766, 0.0
2020-08-31, 85.98, 87.13, 85.01, 87.05, 1225896, 0.0
2020-09-01, 87.04, 88.2, 87.04, 87.87, 1277142, 0.0
2020-09-02, 88.86, 89.03, 84.79, 85.5, 1340923, 0.0
