Date, Open, High, Low, Close, Volume, OI
2020-06-10, 71.14, 74.85, 70.9, 71.52, 7106759, 0.0
2020-06-11, 74.41, 75.33, 72.96, 72.985, 3158685, 0.0
2020-06-14, 72.66, 78.44, 72.31, 77.67, 10375428, 0.0
2020-06-15, 81.12, 83.96, 77.38, 77.995, 19886497, 0.0
2020-06-16, 78.82, 83.89, 78.5, 82.81, 17680476, 0.0
2020-06-17, 84.63, 86.75, 81.69, 82.32, 9269552, 0.0
2020-06-18, 85.89, 89.25, 84.41, 87.62, 14928103, 0.0
2020-06-21, 88.46, 88.57, 80.62, 81.81, 12455973, 0.0
2020-06-22, 83.06, 86.19, 82.86, 83.62, 8138171, 0.0
2020-06-23, 83.59, 86.03, 82.04, 84.52, 8598171, 0.0
2020-06-24, 84.39, 87.5, 83.6, 86.08, 5292636, 0.0
2020-06-25, 86.7, 87.49, 82.5, 85.15, 6820858, 0.0
2020-06-28, 84.62, 87.96, 83.4, 87.47, 4867838, 0.0
2020-06-29, 88.82, 90.48, 84.9572, 85.84, 7477690, 0.0
2020-06-30, 85, 86.24, 83, 85.54, 8824097, 0.0
2020-07-01, 87.85, 95.48, 86.605, 93, 16600943, 0.0
2020-07-05, 98.96, 98.96, 86.08, 87, 22511192, 0.0
2020-07-06, 88, 92.1, 83.3, 91, 13907501, 0.0
2020-07-07, 93, 93.4, 89.34, 92.25, 9611733, 0.0
2020-07-08, 93.15, 94.2998, 88.42, 90.25, 8439194, 0.0
2020-07-09, 88.61, 89.62, 86.21, 87.3, 6464294, 0.0
2020-07-12, 90.97, 94.94, 88.02, 88.38, 12496478, 0.0
2020-07-13, 86.9, 87.9, 80.09, 87.24, 13599280, 0.0
2020-07-14, 88.58, 89.604, 84.45, 85.26, 5836640, 0.0
2020-07-15, 81.51, 84.84, 81.1, 83.42, 6239670, 0.0
2020-07-16, 84.74, 85.13, 82.02, 82.47, 5175043, 0.0
2020-07-19, 81, 85.05, 80.77, 84.84, 5682683, 0.0
2020-07-20, 86.89, 87.27, 82.291, 82.54, 7164695, 0.0
2020-07-21, 82, 83.46, 79.51, 80.7401, 6679072, 0.0
2020-07-22, 81.1, 82.46, 78.6701, 79.03, 4490773, 0.0
2020-07-23, 76.2235, 80.69, 76, 78.94, 9620253, 0.0
2020-07-26, 79.13, 83.59, 77.53, 83.44, 8558778, 0.0
2020-07-27, 83.17, 85.42, 82.83, 83.75, 5607941, 0.0
2020-07-28, 85.39, 86.9, 83.87, 83.98, 3959048, 0.0
2020-07-29, 83.63, 85.57, 83.63, 84.94, 3337417, 0.0
2020-07-30, 86.43, 92.66, 86.13, 91.8, 12110589, 0.0
2020-08-02, 92.97, 96.22, 91.725, 96.03, 5544751, 0.0
2020-08-03, 95.86, 97.33, 92.7, 94.02, 4569708, 0.0
2020-08-04, 94.7, 98.43, 94.63, 97.52, 4995702, 0.0
2020-08-05, 97.45, 98.18, 91.3, 91.62, 6141285, 0.0
2020-08-06, 90.63, 93.38, 87.32, 88.2, 6617966, 0.0
2020-08-09, 88.785, 89.4003, 86.3273, 87.49, 3869586, 0.0
2020-08-10, 88.03, 91.04, 86.8, 87.27, 4964716, 0.0
2020-08-11, 88.16, 90.96, 86.6234, 90.1, 4228675, 0.0
2020-08-12, 90, 91.13, 88.14, 88.85, 2879510, 0.0
2020-08-13, 88.54, 88.705, 84.01, 85.03, 5489445, 0.0
2020-08-16, 90.79, 91.55, 85.71, 89.18, 10395561, 0.0
2020-08-17, 90.954, 92.34, 89.64, 91.59, 6856335, 0.0
2020-08-18, 91.56, 96.74, 91.4525, 95.94, 11993589, 0.0
2020-08-19, 95.07, 98.2, 94.5, 97.15, 12676071, 0.0
2020-08-20, 86.65, 88.29, 83.36, 83.99, 29661085, 0.0
2020-08-23, 85.62, 85.99, 82.4, 83.15, 14880977, 0.0
2020-08-24, 83.41, 88.88, 82.54, 87.24, 15007629, 0.0
2020-08-25, 88.6965, 89.6, 84.88, 89.23, 10427560, 0.0
2020-08-26, 89, 89.78, 86.4, 88.82, 7001920, 0.0
2020-08-27, 87.72, 92.02, 87.72, 89.17, 5819167, 0.0
2020-08-30, 89.23, 89.75, 87.8, 88.94, 5974164, 0.0
2020-08-31, 89.37, 93.91, 89.285, 91.36, 9449975, 0.0
2020-09-01, 92.85, 93, 87.15, 90.29, 6721590, 0.0
2020-09-02, 88, 89.63, 84.875, 85.77, 7694726, 0.0
