Date, Open, High, Low, Close, Volume, OI
2020-06-10, 134.22, 135.14, 127.46, 127.84, 5885643, 0.0
2020-06-11, 129.15, 129.86, 128.42, 128.88, 1725615, 0.0
2020-06-14, 128.29, 130.96, 126.53, 130.57, 3665427, 0.0
2020-06-15, 132.68, 133.06, 130.12, 131.8, 8297875, 0.0
2020-06-16, 131.89, 133.04, 131.51, 131.765, 4972275, 0.0
2020-06-17, 131.42, 133.13, 130.63, 132.8, 2633424, 0.0
2020-06-18, 134.41, 134.82, 131.27, 131.32, 4974947, 0.0
2020-06-21, 130.55, 131.76, 129.95, 131.03, 2630192, 0.0
2020-06-22, 131.62, 132.68, 130.98, 131.33, 2850924, 0.0
2020-06-23, 130.52, 131.07, 128.68, 129.6, 3636349, 0.0
2020-06-24, 129.14, 131.73, 128.05, 131.39, 3629049, 0.0
2020-06-25, 131.68, 132.37, 128.06, 128.93, 4295068, 0.0
2020-06-28, 130.18, 131.4, 129.43, 131.16, 2490801, 0.0
2020-06-29, 131.83, 132.82, 130.855, 132.21, 3018403, 0.0
2020-06-30, 132.53, 133.62, 131.94, 132.34, 2878189, 0.0
2020-07-01, 133.54, 134.17, 132.54, 132.86, 1913272, 0.0
2020-07-05, 133.08, 133.95, 132.31, 133.27, 3102725, 0.0
2020-07-06, 132.27, 134.62, 132.17, 133.57, 3340811, 0.0
2020-07-07, 134.16, 134.69, 133.16, 134.23, 3053900, 0.0
2020-07-08, 132.9, 133.94, 131.7272, 132.69, 2905592, 0.0
2020-07-09, 132.37, 134.89, 131.2835, 134.5, 3514600, 0.0
2020-07-12, 136.77, 138.07, 134.47, 134.91, 7739081, 0.0
2020-07-13, 134.59, 136.9515, 134.25, 135.43, 4739464, 0.0
2020-07-14, 135.35, 136.19, 133.25, 133.6889, 3997644, 0.0
2020-07-15, 134.0556, 134.36, 133.05, 133.74, 2812379, 0.0
2020-07-16, 134.65, 135.06, 133.55, 134.68, 2491068, 0.0
2020-07-19, 134.6136, 134.6136, 132.18, 133.11, 2786781, 0.0
2020-07-20, 134.0045, 136.41, 133.79, 134.45, 4181833, 0.0
2020-07-21, 135.56, 136.25, 133.68, 135.99, 2909395, 0.0
2020-07-22, 136.59, 137.25, 135.72, 137.08, 2538278, 0.0
2020-07-23, 136.99, 138.64, 135.39, 136.08, 2836995, 0.0
2020-07-26, 135.53, 137.76, 134.85, 137.67, 2898145, 0.0
2020-07-27, 137.98, 138.59, 137.09, 137.38, 2696194, 0.0
2020-07-28, 137.38, 139, 137.04, 137.97, 2778166, 0.0
2020-07-29, 137.24, 138.22, 136.48, 137.69, 2174355, 0.0
2020-07-30, 137.26, 137.7, 135.2, 137.7, 2753655, 0.0
2020-08-02, 137.11, 137.5, 136, 136.7, 1636746, 0.0
2020-08-03, 137.52, 137.59, 136.02, 137.47, 1674407, 0.0
2020-08-04, 138.15, 138.15, 135.77, 136.25, 2222544, 0.0
2020-08-05, 135.2735, 136.29, 135.2735, 135.86, 2239450, 0.0
2020-08-06, 135.94, 136.76, 135.37, 136.73, 2386451, 0.0
2020-08-09, 136.61, 136.71, 135.38, 136.08, 2085789, 0.0
2020-08-10, 136.97, 137.45, 134.62, 135.15, 2762289, 0.0
2020-08-11, 135.34, 138.68, 135.25, 137.74, 2588155, 0.0
2020-08-12, 137.1, 138.61, 137.1, 138.1, 1931895, 0.0
2020-08-13, 138.11, 138.172, 137.2, 137.44, 1601076, 0.0
2020-08-16, 137.5, 138.89, 137.05, 137.98, 1946313, 0.0
2020-08-17, 138.61, 138.61, 137.04, 138.16, 2086386, 0.0
2020-08-18, 138.69, 138.795, 136.1, 136.45, 2546846, 0.0
2020-08-19, 135.66, 137.15, 135.63, 136.75, 1790661, 0.0
2020-08-20, 136.37, 136.66, 135.25, 136.47, 3670356, 0.0
2020-08-23, 136.46, 137.68, 136.11, 137.68, 2526868, 0.0
2020-08-24, 138.26, 138.38, 136.7, 137.28, 1871583, 0.0
2020-08-25, 136.5753, 138.66, 136.38, 138.45, 2684068, 0.0
2020-08-26, 138.71, 139.9284, 137.91, 138.3, 3416714, 0.0
2020-08-27, 138.52, 139.96, 137.24, 139.94, 2520676, 0.0
2020-08-30, 139.32, 141.02, 139, 140.06, 2652541, 0.0
2020-08-31, 140.25, 140.48, 138.505, 139.26, 2879310, 0.0
2020-09-01, 139.52, 143.82, 139.35, 143.28, 4022421, 0.0
2020-09-02, 142.7663, 144.035, 138.12, 139.39, 4379440, 0.0
