Date, Open, High, Low, Close, Volume, OI
2020-06-10, 158.34, 159.5, 153, 153.08, 7223988, 0.0
2020-06-11, 157.06, 157.21, 154.31, 154.31, 1879516, 0.0
2020-06-14, 152.63, 157.92, 152.22, 157.62, 4330304, 0.0
2020-06-15, 160.19, 162.83, 158.3, 161.29, 10853250, 0.0
2020-06-16, 162.84, 164.9597, 161.66, 163.78, 9497940, 0.0
2020-06-17, 164.72, 168.83, 164.31, 168.1, 6734045, 0.0
2020-06-18, 170.6, 171.12, 164.01, 164.431, 8364134, 0.0
2020-06-21, 165.58, 170.9, 165.55, 170.32, 6226863, 0.0
2020-06-22, 172, 175.4, 170.4, 172.71, 6657057, 0.0
2020-06-23, 170.595, 173.48, 164.29, 168.08, 7971640, 0.0
2020-06-24, 169, 172.78, 168.19, 172.51, 5728963, 0.0
2020-06-25, 173.71, 173.71, 168.6, 170.87, 5509013, 0.0
2020-06-28, 171.48, 171.48, 165.56, 168.45, 4763187, 0.0
2020-06-29, 170.7, 174.69, 169.41, 174.2, 5239140, 0.0
2020-06-30, 174.625, 178.2348, 172.56, 177.46, 5836704, 0.0
2020-07-01, 179.69, 179.8, 176.72, 177.23, 5099999, 0.0
2020-07-05, 180.29, 181.24, 174.46, 176.2, 7178230, 0.0
2020-07-06, 177.69, 179.95, 176.31, 177.16, 4689896, 0.0
2020-07-07, 178.89, 182.64, 178.5, 181.6, 5558752, 0.0
2020-07-08, 183.4, 183.99, 179.15, 183.25, 4809932, 0.0
2020-07-09, 181.63, 182.52, 177.13, 178.39, 6533025, 0.0
2020-07-12, 180.42, 180.66, 170.74, 171.51, 9253182, 0.0
2020-07-13, 168.75, 172.6, 164.33, 172.26, 9455181, 0.0
2020-07-14, 172.99, 173.36, 169.01, 171.99, 5848348, 0.0
2020-07-15, 169.9, 171.34, 166.4998, 169.65, 5601502, 0.0
2020-07-16, 171.5, 174.56, 169.54, 173.95, 5364003, 0.0
2020-07-19, 174.65, 179.64, 172.68, 178.75, 4507596, 0.0
2020-07-20, 179.25, 179.46, 174.32, 175.63, 4922520, 0.0
2020-07-21, 176.16, 179.49, 175.73, 178.37, 4143468, 0.0
2020-07-22, 178.15, 180.75, 172.88, 173.86, 3563014, 0.0
2020-07-23, 171.08, 173.6, 169.08, 172.56, 5397250, 0.0
2020-07-26, 173.92, 178.46, 172.39, 178.01, 5999672, 0.0
2020-07-27, 178.01, 179.58, 176.0102, 176.27, 5674742, 0.0
2020-07-28, 178.45, 185.44, 178.27, 184.54, 12130567, 0.0
2020-07-29, 191.81, 198.6599, 189.1314, 192.53, 15690756, 0.0
2020-07-30, 193.05, 196.35, 191.69, 196.26, 8394869, 0.0
2020-08-02, 198.25, 199.4, 195.22, 197.06, 5325202, 0.0
2020-08-03, 196.35, 199.1, 195.5206, 197.41, 4983777, 0.0
2020-08-04, 199, 204.23, 198.09, 202.92, 6223177, 0.0
2020-08-05, 202, 204.16, 198.88, 204.09, 5119416, 0.0
2020-08-06, 203.71, 203.9509, 196.7, 198.58, 5524022, 0.0
2020-08-09, 195.505, 196.09, 191.69, 193.32, 7236795, 0.0
2020-08-10, 192, 193.535, 186.52, 188.93, 8546843, 0.0
2020-08-11, 190, 192.51, 189.4, 191.32, 6952492, 0.0
2020-08-12, 192.1, 195.13, 191.48, 193.07, 9387758, 0.0
2020-08-13, 195.19, 195.4687, 190.51, 191.46, 4117853, 0.0
2020-08-16, 193.92, 197.42, 193.25, 196.29, 5373718, 0.0
2020-08-17, 197.73, 198.75, 194, 194.57, 4761558, 0.0
2020-08-18, 195.06, 196.84, 191.92, 192.39, 4912423, 0.0
2020-08-19, 192.06, 198.7, 191.51, 198.27, 5263343, 0.0
2020-08-20, 197.93, 199.0999, 196.22, 196.71, 4642876, 0.0
2020-08-23, 200, 201.0988, 196.57, 198.94, 4760794, 0.0
2020-08-24, 198.49, 201.96, 196.24, 201.71, 3893475, 0.0
2020-08-25, 202.53, 205.35, 200.25, 203.53, 4572164, 0.0
2020-08-26, 206.81, 207, 202.3, 204.34, 5167778, 0.0
2020-08-27, 205.4159, 205.4159, 202.42, 204.48, 3722557, 0.0
2020-08-30, 203.7, 205.2523, 202.2984, 203.95, 4541288, 0.0
2020-08-31, 205.59, 209.8799, 205.145, 208.92, 5344347, 0.0
2020-09-01, 211.6222, 212.45, 204.6, 210.82, 6467777, 0.0
2020-09-02, 205.69, 206.59, 194.95, 205.07, 14251722, 0.0
