Date, Open, High, Low, Close, Volume, OI
2020-06-10, 88.62, 89.055, 83.94, 84.02, 12900352, 0.0
2020-06-11, 86.25, 87.14, 85.25, 85.25, 2787696, 0.0
2020-06-14, 83.67, 86.57, 83.1, 86.42, 7057692, 0.0
2020-06-15, 89.9, 90.44, 87.76, 89.64, 21194355, 0.0
2020-06-16, 90.68, 91.085, 89.3, 89.95, 13294464, 0.0
2020-06-17, 89.85, 90.49, 89.03, 89.92, 4735293, 0.0
2020-06-18, 89.87, 90.25, 87.535, 88.63, 11177617, 0.0
2020-06-21, 88.72, 89.44, 87.61, 89.13, 5829066, 0.0
2020-06-22, 90.14, 90.61, 89.21, 89.34, 6216062, 0.0
2020-06-23, 89.1747, 89.83, 87.42, 89.15, 6457816, 0.0
2020-06-24, 88.7, 89.46, 87.32, 88.96, 5945295, 0.0
2020-06-25, 89.07, 89.73, 87.54, 88.025, 6095101, 0.0
2020-06-28, 88.2113, 89.15, 86.68, 89.12, 4228320, 0.0
2020-06-29, 89.2, 91.93, 89, 91.21, 7474122, 0.0
2020-06-30, 91.01, 91.3, 89.58, 89.78, 5174568, 0.0
2020-07-01, 91.09, 92.5, 90.8, 91.87, 7320347, 0.0
2020-07-05, 93.21, 93.75, 92.1, 92.92, 5569776, 0.0
2020-07-06, 92.97, 93.55, 91.91, 92.14, 5611981, 0.0
2020-07-07, 93.27, 93.6, 92.34, 93.54, 5356187, 0.0
2020-07-08, 93.95, 93.95, 91.44, 93.24, 5570316, 0.0
2020-07-09, 93, 93.52, 91.56, 92.51, 3761290, 0.0
2020-07-12, 93.3, 94.125, 91.2, 91.33, 6121812, 0.0
2020-07-13, 90.86, 92.62, 89.2, 92.35, 4958398, 0.0
2020-07-14, 92.93, 92.93, 91.01, 92.55, 4291062, 0.0
2020-07-15, 91.2639, 91.747, 90.68, 91.11, 4657625, 0.0
2020-07-16, 91.68, 92.455, 91, 92.2, 3876796, 0.0
2020-07-19, 92.1922, 93.27, 91.3, 93.17, 3780000, 0.0
2020-07-20, 93.55, 93.85, 91.81, 92.35, 5668026, 0.0
2020-07-21, 92.74, 93.29, 91.67, 92.59, 3752951, 0.0
2020-07-22, 92.91, 92.97, 89.48, 89.73, 4796903, 0.0
2020-07-23, 89.21, 90.29, 87.51, 88.89, 7650566, 0.0
2020-07-26, 90.0225, 92.84, 89.26, 92.7, 6843346, 0.0
2020-07-27, 92.171, 92.59, 90.57, 91.45, 5128481, 0.0
2020-07-28, 92.08, 93.62, 91.74, 93.06, 6649417, 0.0
2020-07-29, 102.42, 107.69, 100.7, 107.19, 40297593, 0.0
2020-07-30, 105.66, 107.753, 104.51, 105.6, 15394034, 0.0
2020-08-02, 107.4, 113, 107.0341, 109.59, 13538522, 0.0
2020-08-03, 109.49, 111.02, 108.66, 110.92, 9282656, 0.0
2020-08-04, 111, 112.46, 110.08, 111.38, 6652395, 0.0
2020-08-05, 111.23, 111.36, 109.93, 111.07, 5652091, 0.0
2020-08-06, 110.01, 111.05, 106, 108.24, 10428596, 0.0
2020-08-09, 108.455, 108.6, 105.7226, 106.39, 6782447, 0.0
2020-08-10, 106.2, 112.01, 104.74, 108.86, 17160127, 0.0
2020-08-11, 110.39, 116.25, 109.65, 115.78, 17454454, 0.0
2020-08-12, 116.2, 116.2, 112.77, 113.46, 9355891, 0.0
2020-08-13, 113.3, 114.52, 112.57, 113.74, 5875217, 0.0
2020-08-16, 113.29, 114.49, 110.63, 112.16, 9315265, 0.0
2020-08-17, 112.91, 113.38, 111.52, 112.02, 5677665, 0.0
2020-08-18, 112.33, 113.47, 110.75, 111.03, 5880270, 0.0
2020-08-19, 110, 110.98, 109.67, 110.65, 6027016, 0.0
2020-08-20, 110.23, 113.15, 109.95, 113.04, 7704969, 0.0
2020-08-23, 114.37, 116, 113.27, 115.97, 7836685, 0.0
2020-08-24, 116.11, 117.1, 114.44, 115.95, 5138635, 0.0
2020-08-25, 116.25, 116.55, 115.17, 116.04, 5410571, 0.0
2020-08-26, 116.43, 118.18, 115.35, 116.02, 7536665, 0.0
2020-08-27, 116.71, 118.26, 116.17, 118.2, 5564627, 0.0
2020-08-30, 118.3321, 121.06, 118.12, 119.08, 8001031, 0.0
2020-08-31, 121.08, 122.57, 119.51, 122.01, 8102380, 0.0
2020-09-01, 123.26, 123.9299, 121.81, 123.18, 8124479, 0.0
2020-09-02, 121.3, 121.71, 115.6, 116.43, 11422474, 0.0
