Date, Open, High, Low, Close, Volume, OI
2020-06-10, 621, 625.79, 592.3181, 596.77, 1347842, 0.0
2020-06-11, 616.01, 619.68, 599.02, 599.02, 324530, 0.0
2020-06-14, 584.54, 593.49, 582.32, 590.62, 588211, 0.0
2020-06-15, 590, 597.15, 575.89, 592.98, 1297859, 0.0
2020-06-16, 596.33, 606.5, 594.86, 602.76, 1189440, 0.0
2020-06-17, 601.34, 604.03, 590.3, 597.35, 577902, 0.0
2020-06-18, 602.31, 646.33, 598.71, 644.46, 1763407, 0.0
2020-06-21, 634.09, 634.19, 618.19, 628.52, 1153068, 0.0
2020-06-22, 631.33, 637.5432, 623.01, 628.76, 743059, 0.0
2020-06-23, 630, 644.703, 599, 605.51, 1381720, 0.0
2020-06-24, 604.67, 620.29, 602.51, 620.05, 745298, 0.0
2020-06-25, 611.02, 616.35, 601.56, 611.68, 518484, 0.0
2020-06-28, 609.37, 617.265, 605.7745, 610.63, 574510, 0.0
2020-06-29, 621.93, 626.06, 611.16, 623.65, 544638, 0.0
2020-06-30, 625, 625, 601.02, 609.16, 914259, 0.0
2020-07-01, 612.1, 630.76, 608.76, 621.94, 715989, 0.0
2020-07-05, 635, 639, 623.5, 626.76, 924856, 0.0
2020-07-06, 636.03, 653.53, 628.23, 640.4, 1330022, 0.0
2020-07-07, 650.41, 650.49, 632.42, 640.33, 583412, 0.0
2020-07-08, 648, 655.9255, 629, 639.97, 904535, 0.0
2020-07-09, 638.4, 639.99, 617.945, 620.86, 861875, 0.0
2020-07-12, 623.67, 633.84, 614.11, 614.92, 656307, 0.0
2020-07-13, 615.58, 644.34, 612.2, 640.77, 765344, 0.0
2020-07-14, 641.99, 644.74, 626.5, 632.74, 508040, 0.0
2020-07-15, 628.75, 634.26, 621.99, 632.05, 329114, 0.0
2020-07-16, 635, 650, 632.21, 644.09, 576454, 0.0
2020-07-19, 646.64, 664.64, 646.5, 658, 602859, 0.0
2020-07-20, 658, 658, 635.6417, 638.86, 636688, 0.0
2020-07-21, 642.59, 644.06, 634.3601, 637.53, 398871, 0.0
2020-07-22, 637.92, 644.315, 628.34, 630.06, 326897, 0.0
2020-07-23, 623.7, 623.7, 596.015, 608.93, 1138393, 0.0
2020-07-26, 620, 638.42, 613.29, 637.4, 772091, 0.0
2020-07-27, 636.2, 638.355, 629.07, 631.15, 400923, 0.0
2020-07-28, 634.05, 634.47, 625.88, 631.61, 290935, 0.0
2020-07-29, 625.72, 641.38, 625.72, 631.47, 507105, 0.0
2020-07-30, 634.68, 636.14, 620.06, 632.08, 553922, 0.0
2020-08-02, 634.84, 647.3964, 632.725, 645.25, 314905, 0.0
2020-08-03, 654.46, 654.46, 636.1, 647.57, 668594, 0.0
2020-08-04, 654.9536, 660, 623.9, 624.52, 1007581, 0.0
2020-08-05, 628.88, 630, 613.6, 621.21, 605609, 0.0
2020-08-06, 621, 627.46, 614.5468, 620.66, 374702, 0.0
2020-08-09, 609.28, 611.14, 596.58, 608.22, 474744, 0.0
2020-08-10, 601.11, 608.235, 592.453, 598.86, 492897, 0.0
2020-08-11, 599.9, 617, 599.9, 612.35, 477330, 0.0
2020-08-12, 611.49, 616.235, 607.2691, 610.87, 309422, 0.0
2020-08-13, 610.09, 617.31, 610.09, 612.49, 223602, 0.0
2020-08-16, 614.74, 627.99, 614.21, 621.21, 324323, 0.0
2020-08-17, 623.01, 623.01, 613.27, 618.59, 299032, 0.0
2020-08-18, 628.98, 640.65, 625, 629.86, 643476, 0.0
2020-08-19, 610.01, 619.75, 608.44, 616.943, 601687, 0.0
2020-08-20, 617.18, 618.0719, 603.22, 605.39, 554616, 0.0
2020-08-23, 612.38, 613.1, 590.71, 594.57, 906758, 0.0
2020-08-24, 596.51, 615, 594.74, 610.5, 670910, 0.0
2020-08-25, 605.5, 613.14, 604.49, 611.63, 366172, 0.0
2020-08-26, 614.67, 619.52, 610.2268, 615.19, 487682, 0.0
2020-08-27, 611, 614.505, 598.9, 602.61, 520681, 0.0
2020-08-30, 602.33, 621.61, 601.35, 619.25, 773048, 0.0
2020-08-31, 615.63, 620, 589.3, 592.69, 964684, 0.0
2020-09-01, 591.3, 610.99, 591.3, 610.13, 790749, 0.0
2020-09-02, 610.4, 610.42, 575.1, 577.4, 739667, 0.0
