Date, Open, High, Low, Close, Volume, OI
2020-06-10, 96.68, 96.835, 93.21, 94.57, 3256908, 0.0
2020-06-11, 96.42, 96.787, 93.02, 93.02, 439799, 0.0
2020-06-14, 89.14, 91.49, 87.86, 91.33, 3596025, 0.0
2020-06-15, 97.09, 98.05, 95.27, 97.62, 7120493, 0.0
2020-06-16, 97.74, 98.13, 96.57, 96.65, 5997771, 0.0
2020-06-17, 95.04, 96.38, 91.98, 92.38, 2956362, 0.0
2020-06-18, 95.14, 95.15, 91.65, 93.3, 4099673, 0.0
2020-06-21, 92.67, 92.89, 90.22, 90.7, 2328424, 0.0
2020-06-22, 92.01, 93.16, 91.32, 91.46, 3309430, 0.0
2020-06-23, 89.8035, 90.36, 86.44, 87.04, 2727889, 0.0
2020-06-24, 86.77, 86.94, 82.49, 84.27, 4439501, 0.0
2020-06-25, 83.75, 86.689, 83.59, 83.75, 3828377, 0.0
2020-06-28, 83.93, 85.52, 81.605, 85.25, 2460993, 0.0
2020-06-29, 85.01, 85.74, 83.78, 85.19, 3237368, 0.0
2020-06-30, 85.29, 88.6, 85.22, 87.23, 3253231, 0.0
2020-07-01, 88.74, 91.12, 88.31, 88.58, 3116398, 0.0
2020-07-05, 89.76, 91.06, 89.54, 90.2, 1584143, 0.0
2020-07-06, 89.2, 89.2, 86.17, 86.34, 2043101, 0.0
2020-07-07, 86.21, 87.05, 84.81, 86.02, 2031001, 0.0
2020-07-08, 85.74, 86.22, 83.25, 84.73, 2487826, 0.0
2020-07-09, 84.85, 87.75, 84.489, 86.74, 2750652, 0.0
2020-07-12, 86.97, 87.775, 84.45, 84.81, 3330008, 0.0
2020-07-13, 83.98, 83.98, 79.65, 80.19, 7214299, 0.0
2020-07-14, 81.77, 84.635, 81.63, 83.65, 5456050, 0.0
2020-07-15, 83.01, 84.94, 82.4, 84.54, 2821747, 0.0
2020-07-16, 85.25, 86.08, 84.13, 85.8, 2745503, 0.0
2020-07-19, 85.58, 86.08, 83.51, 84.8, 2397052, 0.0
2020-07-20, 85.07, 88, 84.12, 86.52, 2020512, 0.0
2020-07-21, 86.35, 88.81, 85.617, 88.79, 2362186, 0.0
2020-07-22, 88.54, 88.78, 87.09, 87.83, 1726712, 0.0
2020-07-23, 87.67, 88.1, 85.95, 86.16, 1978162, 0.0
2020-07-26, 85.92, 86.245, 84.115, 85.15, 2028220, 0.0
2020-07-27, 84.94, 86.54, 84.76, 85.9, 1632081, 0.0
2020-07-28, 86.15, 88.96, 86, 88.44, 2208593, 0.0
2020-07-29, 87.63, 89.3, 87.06, 88.96, 2383674, 0.0
2020-07-30, 88.62, 89.78, 87.925, 89.67, 2436485, 0.0
2020-08-02, 89.2, 89.71, 87.4, 87.87, 1955048, 0.0
2020-08-03, 87.83, 88.79, 87.195, 88.38, 1814130, 0.0
2020-08-04, 88.84, 89.6, 88.23, 88.72, 1545210, 0.0
2020-08-05, 88.85, 88.85, 86.86, 86.97, 3041423, 0.0
2020-08-06, 86.95, 89.44, 86.37, 89.44, 3062092, 0.0
2020-08-09, 90.53, 93.24, 90.25, 92.53, 2245617, 0.0
2020-08-10, 93.47, 94.98, 92.38, 93.6, 1653713, 0.0
2020-08-11, 93.62, 94.46, 92.354, 94.06, 1578485, 0.0
2020-08-12, 93.95, 93.96, 93.02, 93.06, 1421514, 0.0
2020-08-13, 93.2, 94.76, 92.63, 94.05, 1588882, 0.0
2020-08-16, 96.12, 97.56, 94.06, 97.13, 2580224, 0.0
2020-08-17, 96.78, 96.97, 93.28, 94.33, 2390847, 0.0
2020-08-18, 90.5, 91.2, 88.57, 90.26, 4113413, 0.0
2020-08-19, 88.88, 89.71, 87.23, 87.525, 3069811, 0.0
2020-08-20, 87.5987, 89.78, 86.37, 87.21, 3916777, 0.0
2020-08-23, 87.01, 89.32, 86.71, 89.3, 2753236, 0.0
2020-08-24, 89.79, 92.38, 89.7, 91.25, 2221865, 0.0
2020-08-25, 91.13, 91.56, 89.73, 89.85, 1398102, 0.0
2020-08-26, 90.7, 92.02, 90.25, 90.88, 1725024, 0.0
2020-08-27, 91.2, 93.93, 90.875, 93.83, 1529512, 0.0
2020-08-30, 93, 93.48, 91.03, 91.03, 1572376, 0.0
2020-08-31, 91.01, 91.71, 89.53, 91.28, 2201275, 0.0
2020-09-01, 92.19, 94.99, 92.09, 94.56, 1954159, 0.0
2020-09-02, 95.13, 95.64, 92.98, 93.78, 2034545, 0.0
