Date, Open, High, Low, Close, Volume, OI
2020-06-10, 75.75, 76.79, 72.15, 72.57, 24503504, 0.0
2020-06-11, 75, 75.6598, 74.09, 74.15, 5738166, 0.0
2020-06-14, 74.3, 77.91, 74.08, 76.97, 13174011, 0.0
2020-06-15, 78.79, 78.9435, 76.39, 77.86, 18894209, 0.0
2020-06-16, 78.07, 78.29, 76.68, 77.1, 11542477, 0.0
2020-06-17, 76.72, 76.79, 75.795, 76.305, 7386996, 0.0
2020-06-18, 77.03, 77.375, 74.88, 75.465, 9284786, 0.0
2020-06-21, 74.9, 75.651, 73.92, 75.41, 7219429, 0.0
2020-06-22, 76.33, 76.37, 75.07, 75.49, 7197298, 0.0
2020-06-23, 74.9, 74.92, 72, 73.72, 11092496, 0.0
2020-06-24, 73.2157, 74.105, 72.17, 73.85, 7796240, 0.0
2020-06-25, 73.63, 73.77, 71.25, 71.53, 10212002, 0.0
2020-06-28, 71.4091, 73.5, 71.06, 73.485, 7828382, 0.0
2020-06-29, 73.58, 73.88, 72.81, 73.59, 8181292, 0.0
2020-06-30, 74, 74.69, 73.38, 74.03, 6227895, 0.0
2020-07-01, 75.04, 75.09, 73.64, 73.77, 5974648, 0.0
2020-07-05, 74.93, 75.48, 74.16, 75.43, 6109558, 0.0
2020-07-06, 75.13, 75.23, 74, 74.27, 6604439, 0.0
2020-07-07, 74.07, 74.499, 73.33, 74.11, 6525321, 0.0
2020-07-08, 73.73, 74.22, 71.93, 73.59, 9002672, 0.0
2020-07-09, 73, 74.56, 72.74, 74.29, 6899142, 0.0
2020-07-12, 74.5601, 74.84, 72.49, 72.69, 8734376, 0.0
2020-07-13, 72, 72.97, 71.815, 72.72, 7923194, 0.0
2020-07-14, 74.46, 75.805, 73.96, 75.6, 9370210, 0.0
2020-07-15, 74.9, 75.14, 73.68, 74.41, 5576964, 0.0
2020-07-16, 74.43, 74.55, 73.2101, 74.16, 5351547, 0.0
2020-07-19, 74.16, 75.22, 73.6305, 74.96, 8100136, 0.0
2020-07-20, 75.78, 76.8, 75.27, 75.42, 8917685, 0.0
2020-07-21, 75.52, 77.325, 75.12, 77.23, 8180463, 0.0
2020-07-22, 76.88, 77.07, 74.97, 75.37, 4895552, 0.0
2020-07-23, 75.28, 75.995, 75.11, 75.78, 5274801, 0.0
2020-07-26, 75.886, 76.705, 75.54, 76.46, 5733087, 0.0
2020-07-27, 76.3, 76.39, 74.5604, 74.8, 9516174, 0.0
2020-07-28, 77.56, 78.49, 76.9, 77.42, 14183951, 0.0
2020-07-29, 76.63, 76.98, 75.4, 76.63, 7503946, 0.0
2020-07-30, 76.24, 76.54, 75.48, 76.54, 6209578, 0.0
2020-08-02, 76.48, 76.6, 75.44, 75.5, 4718164, 0.0
2020-08-03, 75.37, 75.485, 74.76, 75.14, 11884714, 0.0
2020-08-04, 75.35, 75.99, 75.325, 75.78, 7174172, 0.0
2020-08-05, 75.2, 75.92, 74.9412, 75.64, 5969362, 0.0
2020-08-06, 75.48, 75.93, 75.21, 75.77, 5877319, 0.0
2020-08-09, 76.52, 77.665, 76.12, 77.47, 5211789, 0.0
2020-08-10, 78.27, 79.98, 78, 78.88, 8983731, 0.0
2020-08-11, 79.59, 79.69, 78.665, 79.29, 4734462, 0.0
2020-08-12, 78.92, 79.6401, 78.84, 79.01, 4106689, 0.0
2020-08-13, 78.54, 78.93, 78.02, 78.38, 3371303, 0.0
2020-08-16, 78.6, 78.96, 78.12, 78.96, 4485020, 0.0
2020-08-17, 79.15, 79.36, 78.35, 78.99, 4582548, 0.0
2020-08-18, 79.1832, 79.385, 77.43, 77.64, 6084180, 0.0
2020-08-19, 77.03, 77.65, 76.4602, 77.22, 4664280, 0.0
2020-08-20, 76.94, 77.27, 76.69, 77.07, 5012302, 0.0
2020-08-23, 77.71, 79.14, 77.25, 78.7, 5309473, 0.0
2020-08-24, 80.06, 83.065, 79.79, 82.73, 15961107, 0.0
2020-08-25, 82.42, 82.75, 81.88, 82.4, 6990536, 0.0
2020-08-26, 82.75, 83.635, 82.5, 83.45, 8671840, 0.0
2020-08-27, 83.79, 85.29, 83.43, 85.03, 8534339, 0.0
2020-08-30, 84.6315, 85.36, 84.025, 84.46, 5108797, 0.0
2020-08-31, 84.7, 86.09, 84.23, 86.07, 7500682, 0.0
2020-09-01, 86.505, 88.75, 86.29, 88.35, 10227792, 0.0
2020-09-02, 88.6017, 88.98, 85.69, 86.49, 10081601, 0.0
