Date, Open, High, Low, Close, Volume, OI
2020-06-10, 154.4, 156.21, 148.43, 148.55, 965942, 0.0
2020-06-11, 150.11, 151.52, 148.53, 148.88, 200024, 0.0
2020-06-14, 149.88, 156.1, 149.14, 155.561, 690126, 0.0
2020-06-15, 157.15, 157.48, 152.545, 156.79, 1205330, 0.0
2020-06-16, 158.05, 161, 157.3255, 158.4, 1788333, 0.0
2020-06-17, 157.69, 160.55, 157.69, 159.87, 460308, 0.0
2020-06-18, 160.66, 169.88, 160.4135, 169.88, 1334001, 0.0
2020-06-21, 171, 173.99, 167, 171.03, 979794, 0.0
2020-06-22, 171.31, 175.64, 170.36, 171.12, 844896, 0.0
2020-06-23, 171.4, 173.93, 164.56, 164.71, 976646, 0.0
2020-06-24, 165.18, 168.3, 163.7395, 167.89, 643131, 0.0
2020-06-25, 169, 169, 164.12, 165.77, 724501, 0.0
2020-06-28, 165.78, 166.58, 163.23, 164.49, 851464, 0.0
2020-06-29, 167.5, 170.25, 164.09, 169.88, 1436247, 0.0
2020-06-30, 170.18, 172.88, 164.46, 167.49, 949664, 0.0
2020-07-01, 167.75, 170.36, 166.02, 169.03, 710583, 0.0
2020-07-05, 170.64, 172.3, 169.615, 170.44, 651688, 0.0
2020-07-06, 171.02, 180.18, 169.2, 176.48, 1368596, 0.0
2020-07-07, 177.39, 178.2, 172.22, 175.76, 806549, 0.0
2020-07-08, 176.79, 182.97, 176.79, 181.16, 1065323, 0.0
2020-07-09, 180, 180.985, 173.86, 174.12, 615055, 0.0
2020-07-12, 173.39, 177.58, 168.04, 168.62, 892298, 0.0
2020-07-13, 167, 173.85, 165.27, 173.22, 585174, 0.0
2020-07-14, 172.1, 178.07, 171.4815, 177.89, 664374, 0.0
2020-07-15, 177.49, 177.68, 172.03, 177.58, 494277, 0.0
2020-07-16, 179.24, 182.94, 177.86, 182.38, 757597, 0.0
2020-07-19, 183.05, 187.985, 183.05, 184.44, 597481, 0.0
2020-07-20, 184.45, 184.5, 176.85, 177.73, 899444, 0.0
2020-07-21, 179, 179.43, 174.75, 176.81, 563549, 0.0
2020-07-22, 176.73, 180.3925, 172.54, 172.95, 478501, 0.0
2020-07-23, 169.61, 170.8, 166.73, 168.815, 903680, 0.0
2020-07-26, 170.2, 172.71, 168.07, 171.36, 1996246, 0.0
2020-07-27, 172.45, 174.37, 170.69, 171.2, 1033420, 0.0
2020-07-28, 172.48, 173.9, 168.25, 168.42, 1388153, 0.0
2020-07-29, 167.95, 172.82, 167.22, 171.15, 831221, 0.0
2020-07-30, 169.99, 170.01, 157.66, 166.27, 2167692, 0.0
2020-08-02, 166.27, 169.145, 164.39, 169.04, 672146, 0.0
2020-08-03, 168.73, 168.73, 162.8449, 164.93, 629861, 0.0
2020-08-04, 164.8, 165.96, 162.13, 162.58, 757232, 0.0
2020-08-05, 163.8, 164.1663, 159.25, 161.78, 566175, 0.0
2020-08-06, 161.52, 162.75, 158.74, 160.45, 568793, 0.0
2020-08-09, 157.53, 158.18, 154.27, 157.66, 671504, 0.0
2020-08-10, 155.94, 157.61, 153.05, 153.48, 556906, 0.0
2020-08-11, 153.93, 158.89, 153.69, 158.779, 574974, 0.0
2020-08-12, 158.47, 160.82, 157.91, 159.95, 511699, 0.0
2020-08-13, 160, 160.72, 156.855, 157.27, 311631, 0.0
2020-08-16, 157.94, 162.5, 157.75, 161.71, 432149, 0.0
2020-08-17, 161.11, 161.34, 156.58, 157.58, 629004, 0.0
2020-08-18, 157.76, 159.77, 156.25, 157.72, 380987, 0.0
2020-08-19, 157.13, 159.088, 156.22, 158.49, 402392, 0.0
2020-08-20, 158.5, 158.61, 155.7, 157.64, 425115, 0.0
2020-08-23, 158.37, 159.315, 153.76, 154.87, 428244, 0.0
2020-08-24, 154.16, 155.79, 153.11, 154.89, 511708, 0.0
2020-08-25, 154, 154.88, 152.56, 154.44, 577740, 0.0
2020-08-26, 155.11, 156.12, 152.97, 154.05, 559344, 0.0
2020-08-27, 154.14, 154.2222, 151.55, 153.7, 522964, 0.0
2020-08-30, 152.49, 159.035, 152.48, 158.23, 1091667, 0.0
2020-08-31, 159.32, 159.63, 152.78, 153.8, 856080, 0.0
2020-09-01, 153.29, 156.35, 152.48, 156.07, 600324, 0.0
2020-09-02, 155.01, 155.17, 148.14, 149.7, 852734, 0.0
