Date, Open, High, Low, Close, Volume, OI
2020-06-10, 6.06, 6.085, 5.81, 5.85, 27354867, 0.0
2020-06-11, 6.02, 6.06, 5.855, 5.86, 6541914, 0.0
2020-06-14, 5.81, 6.02, 5.79, 5.985, 25871413, 0.0
2020-06-15, 6.18, 6.19, 5.92, 6.035, 48672971, 0.0
2020-06-16, 6.04, 6.1, 6, 6.015, 33778155, 0.0
2020-06-17, 6.01, 6.09, 5.97, 6.07, 19903610, 0.0
2020-06-18, 6.12, 6.17, 5.94, 5.96, 33302846, 0.0
2020-06-21, 5.95, 6, 5.87, 5.96, 22883830, 0.0
2020-06-22, 6.01, 6.07, 5.875, 5.9, 28843809, 0.0
2020-06-23, 5.89, 5.89, 5.71, 5.78, 31233562, 0.0
2020-06-24, 5.74, 5.84, 5.66, 5.81, 26701431, 0.0
2020-06-25, 5.8, 5.81, 5.52, 5.54, 28351518, 0.0
2020-06-28, 5.57, 5.73, 5.545, 5.7, 22052237, 0.0
2020-06-29, 5.69, 5.89, 5.65, 5.88, 35052579, 0.0
2020-06-30, 5.88, 5.9572, 5.79, 5.89, 25490990, 0.0
2020-07-01, 5.98, 5.98, 5.83, 5.845, 23475920, 0.0
2020-07-05, 5.9044, 5.96, 5.85, 5.86, 19829440, 0.0
2020-07-06, 5.9, 5.91, 5.78, 5.785, 21146313, 0.0
2020-07-07, 5.78, 5.82, 5.7, 5.77, 18583390, 0.0
2020-07-08, 5.78, 5.815, 5.59, 5.625, 18365663, 0.0
2020-07-09, 5.65, 5.72, 5.61, 5.685, 16698132, 0.0
2020-07-12, 5.69, 5.78, 5.59, 5.6, 21729669, 0.0
2020-07-13, 5.52, 5.69, 5.51, 5.66, 26610711, 0.0
2020-07-14, 5.76, 6.02, 5.755, 6, 38161727, 0.0
2020-07-15, 5.95, 5.98, 5.87, 5.955, 18224726, 0.0
2020-07-16, 5.94, 5.98, 5.89, 5.89, 19683101, 0.0
2020-07-19, 5.89, 5.92, 5.76, 5.81, 18471089, 0.0
2020-07-20, 5.86, 6.03, 5.85, 5.88, 23256976, 0.0
2020-07-21, 5.91, 5.98, 5.855, 5.945, 19606109, 0.0
2020-07-22, 5.93, 5.97, 5.87, 5.89, 12285220, 0.0
2020-07-23, 5.9, 5.95, 5.85, 5.91, 18594432, 0.0
2020-07-26, 5.9, 5.99, 5.84, 5.98, 19822606, 0.0
2020-07-27, 6.05, 6.06, 5.92, 5.95, 17919506, 0.0
2020-07-28, 5.97, 6.02, 5.87, 5.89, 26318043, 0.0
2020-07-29, 6.07, 6.2, 5.82, 5.87, 52674897, 0.0
2020-07-30, 5.85, 5.93, 5.75, 5.88, 32210580, 0.0
2020-08-02, 5.87, 5.92, 5.805, 5.85, 16968752, 0.0
2020-08-03, 5.85, 5.99, 5.835, 5.92, 20577469, 0.0
2020-08-04, 5.94, 5.97, 5.89, 5.92, 17530353, 0.0
2020-08-05, 5.9, 5.95, 5.86, 5.93, 17420789, 0.0
2020-08-06, 5.88, 5.985, 5.88, 5.97, 17272932, 0.0
2020-08-09, 5.94, 6.02, 5.91, 6.01, 14950172, 0.0
2020-08-10, 6.0229, 6.15, 6.02, 6.045, 27827291, 0.0
2020-08-11, 6.06, 6.2, 6.05, 6.09, 20284877, 0.0
2020-08-12, 6.08, 6.12, 6, 6.005, 16427009, 0.0
2020-08-13, 6.01, 6.05, 5.97, 5.99, 15331195, 0.0
2020-08-16, 5.9961, 6.0156, 5.92, 5.995, 18332159, 0.0
2020-08-17, 5.97, 6.01, 5.93, 5.95, 13653758, 0.0
2020-08-18, 5.97, 5.98, 5.85, 5.865, 14533733, 0.0
2020-08-19, 5.82, 5.84, 5.77, 5.83, 17531383, 0.0
2020-08-20, 5.79, 5.82, 5.75, 5.82, 18460090, 0.0
2020-08-23, 5.82, 5.87, 5.78, 5.845, 19832251, 0.0
2020-08-24, 5.87, 5.8872, 5.775, 5.855, 15952887, 0.0
2020-08-25, 5.81, 5.87, 5.8, 5.825, 14544221, 0.0
2020-08-26, 5.85, 5.96, 5.85, 5.9, 21857003, 0.0
2020-08-27, 5.92, 5.98, 5.9, 5.96, 17122816, 0.0
2020-08-30, 5.91, 5.9229, 5.85, 5.865, 15619370, 0.0
2020-08-31, 5.8275, 5.845, 5.79, 5.825, 20175304, 0.0
2020-09-01, 5.8233, 5.96, 5.81, 5.92, 35119558, 0.0
2020-09-02, 5.94, 5.99, 5.73, 5.76, 31330090, 0.0
