Date, Open, High, Low, Close, Volume, OI
2020-06-10, 189.1, 189.1, 179.281, 179.66, 963252, 0.0
2020-06-11, 183.35, 185.65, 182.09, 182.09, 140914, 0.0
2020-06-14, 177.24, 184.38, 176.15, 184.05, 530562, 0.0
2020-06-15, 186.77, 189.39, 184.22, 186.2, 1724514, 0.0
2020-06-16, 188, 190.5, 187.12, 188.97, 1249068, 0.0
2020-06-17, 188.73, 190.95, 188.13, 189.88, 497368, 0.0
2020-06-18, 192.38, 193.36, 184.8, 184.9, 979024, 0.0
2020-06-21, 185.69, 193.27, 184.52, 193.27, 833229, 0.0
2020-06-22, 193.35, 197.6559, 192.27, 192.87, 939706, 0.0
2020-06-23, 192.3, 193.87, 187.35, 189.04, 870415, 0.0
2020-06-24, 191.4332, 191.4332, 185.6, 189.78, 607293, 0.0
2020-06-25, 190.31, 192.08, 187.33, 190.44, 733030, 0.0
2020-06-28, 190.63, 192.845, 186.32, 189.87, 599518, 0.0
2020-06-29, 188.83, 195.98, 188.36, 195.02, 819548, 0.0
2020-06-30, 194.74, 198.09, 193.195, 196.83, 781088, 0.0
2020-07-01, 198.55, 199.579, 196.67, 197.66, 548654, 0.0
2020-07-05, 199.63, 202.98, 198.775, 199.38, 390671, 0.0
2020-07-06, 199.39, 201.96, 197.485, 197.64, 579814, 0.0
2020-07-07, 199.13, 201.7699, 198.94, 201.6, 408927, 0.0
2020-07-08, 203, 204.9, 200.79, 204.68, 653351, 0.0
2020-07-09, 203.26, 204.46, 196.8, 198.01, 1021399, 0.0
2020-07-12, 200, 201.79, 193.62, 194.3, 712480, 0.0
2020-07-13, 192.14, 195.64, 188.82, 195.21, 819498, 0.0
2020-07-14, 195.51, 196.7, 192.34, 194.34, 829443, 0.0
2020-07-15, 192.96, 193.94, 189.6258, 193.36, 601902, 0.0
2020-07-16, 194.63, 197.11, 192.64, 196.28, 519994, 0.0
2020-07-19, 196.02, 202.76, 196.02, 201.9, 664694, 0.0
2020-07-20, 203.5, 203.82, 198.9, 199.69, 487196, 0.0
2020-07-21, 201.22, 202.45, 198.39, 200.62, 438692, 0.0
2020-07-22, 201.38, 204.22, 196.921, 197.83, 262724, 0.0
2020-07-23, 195.82, 196.275, 190.92, 193.38, 1103823, 0.0
2020-07-26, 194.61, 198.09, 194.12, 197.07, 433367, 0.0
2020-07-27, 196.65, 197.87, 194.365, 194.9, 340546, 0.0
2020-07-28, 196, 199.85, 196, 198.28, 428237, 0.0
2020-07-29, 195.43, 200.105, 193.9, 199.41, 319081, 0.0
2020-07-30, 200.6, 200.6, 194.93, 199.2, 805894, 0.0
2020-08-02, 200.74, 204.11, 200.02, 202.76, 314683, 0.0
2020-08-03, 202, 202.8, 199.45, 201.86, 442271, 0.0
2020-08-04, 202.44, 203.705, 200.755, 201.73, 361775, 0.0
2020-08-05, 201.21, 202.58, 198.895, 202.47, 380134, 0.0
2020-08-06, 201.35, 202.22, 196.14, 198.83, 430070, 0.0
2020-08-09, 194.93, 198.19, 194.77, 195.66, 482026, 0.0
2020-08-10, 195.87, 195.87, 190.5, 191.05, 933510, 0.0
2020-08-11, 191.2, 195.07, 191.04, 194.255, 657626, 0.0
2020-08-12, 195.15, 198.5, 194.14, 196.34, 541216, 0.0
2020-08-13, 195.77, 198.28, 195.46, 196.17, 370212, 0.0
2020-08-16, 197.94, 200.47, 197.25, 200.22, 506207, 0.0
2020-08-17, 201.42, 201.61, 199.3069, 200.07, 783315, 0.0
2020-08-18, 200.66, 201.8, 197.47, 198.22, 604254, 0.0
2020-08-19, 206.5, 216.192, 202.1, 214.84, 2347380, 0.0
2020-08-20, 213.61, 214.45, 207.29, 213.04, 1769927, 0.0
2020-08-23, 214.9, 216.64, 210.56, 213.72, 644094, 0.0
2020-08-24, 212.71, 216.21, 211.77, 216.07, 536532, 0.0
2020-08-25, 216.89, 221.32, 216.665, 219.85, 572487, 0.0
2020-08-26, 220.47, 221, 215.31, 217.27, 639954, 0.0
2020-08-27, 217.16, 219.89, 216.79, 219.36, 491609, 0.0
2020-08-30, 219.17, 222.03, 218.355, 221.51, 716517, 0.0
2020-08-31, 221.18, 226.21, 220.24, 225.18, 567314, 0.0
2020-09-01, 226.66, 230.07, 223.23, 229.32, 598891, 0.0
2020-09-02, 226.75, 226.76, 212.76, 214.79, 941428, 0.0
