Date, Open, High, Low, Close, Volume, OI
2020-06-10, 183, 183.345, 173.5, 173.75, 2399392, 0.0
2020-06-11, 179.61, 181.28, 177.69, 177.7, 405219, 0.0
2020-06-14, 172.85, 181.8401, 171.28, 181.5, 1538734, 0.0
2020-06-15, 184.28, 185.41, 180.2, 184.26, 3013813, 0.0
2020-06-16, 183.41, 187.5, 183.16, 183.7, 1955888, 0.0
2020-06-17, 184.5, 186.98, 183.64, 186.195, 698779, 0.0
2020-06-18, 188, 189.935, 185.25, 187.21, 1204117, 0.0
2020-06-21, 191, 196.32, 190.23, 193.08, 1815528, 0.0
2020-06-22, 195.21, 197.22, 192.155, 193.09, 1326984, 0.0
2020-06-23, 193.04, 195.336, 188.33, 190.58, 1448902, 0.0
2020-06-24, 191.81, 194.16, 189, 193.05, 733076, 0.0
2020-06-25, 193.66, 197.7, 190.17, 196.87, 1827964, 0.0
2020-06-28, 198.96, 198.96, 190.99, 194.51, 1502952, 0.0
2020-06-29, 194.92, 199.32, 194.1864, 198.52, 1443297, 0.0
2020-06-30, 195.58, 204.95, 195.5, 203.61, 1852473, 0.0
2020-07-01, 203.97, 204.5, 199.085, 199.9, 1908650, 0.0
2020-07-05, 202.99, 204, 196.55, 198.65, 2529263, 0.0
2020-07-06, 199.5, 201.16, 196.52, 196.67, 1936813, 0.0
2020-07-07, 198.65, 205.28, 197.3, 205.16, 2045879, 0.0
2020-07-08, 205.64, 208.9, 201.88, 204.8, 1350090, 0.0
2020-07-09, 209.04, 213.26, 204.85, 211.22, 2508246, 0.0
2020-07-12, 212.13, 212.8, 197.28, 198.1, 1897333, 0.0
2020-07-13, 198.37, 200.9, 190.4801, 199.78, 1795042, 0.0
2020-07-14, 200.39, 201.97, 196.23, 200.56, 872020, 0.0
2020-07-15, 197.84, 199.875, 195.33, 198.69, 870283, 0.0
2020-07-16, 198.9, 201.5015, 197.41, 199.97, 733855, 0.0
2020-07-19, 201.75, 208.88, 201.35, 207.65, 953203, 0.0
2020-07-20, 208.99, 209, 202.92, 204.16, 777489, 0.0
2020-07-21, 205, 207.2, 202.63, 204.45, 696209, 0.0
2020-07-22, 204.64, 208.72, 201.15, 202.05, 646871, 0.0
2020-07-23, 199.89, 202.05, 197, 199.655, 676326, 0.0
2020-07-26, 201.02, 204.51, 199.15, 203.12, 585247, 0.0
2020-07-27, 204.16, 208.645, 203.25, 205.3, 921261, 0.0
2020-07-28, 207.48, 210.49, 206.54, 208.21, 780504, 0.0
2020-07-29, 205, 210.005, 204.17, 209.39, 754510, 0.0
2020-07-30, 211.78, 212, 205, 209.82, 850407, 0.0
2020-08-02, 211.99, 214.9, 210.805, 214.43, 694235, 0.0
2020-08-03, 214.42, 215, 208, 211.03, 867835, 0.0
2020-08-04, 212.6, 217.36, 211.665, 217.3, 1015060, 0.0
2020-08-05, 216.35, 216.98, 211.2213, 213.62, 911581, 0.0
2020-08-06, 212.85, 212.97, 198.14, 200.38, 2016219, 0.0
2020-08-09, 196.03, 198.315, 193.89, 197.9, 1344302, 0.0
2020-08-10, 198.82, 200.175, 193.02, 195.64, 1383523, 0.0
2020-08-11, 196.17, 197.97, 189.1, 190.41, 2110743, 0.0
2020-08-12, 191.87, 196.5, 190.4, 193.31, 2324411, 0.0
2020-08-13, 193.87, 194.4999, 190.76, 192.36, 1239646, 0.0
2020-08-16, 193, 195.61, 192.55, 194.88, 948844, 0.0
2020-08-17, 196, 198.98, 194.83, 197.65, 1016549, 0.0
2020-08-18, 198.03, 199.744, 195.04, 195.35, 1001905, 0.0
2020-08-19, 195, 201.86, 194.52, 200.11, 966456, 0.0
2020-08-20, 202.5, 204.78, 201.12, 202.36, 1050476, 0.0
2020-08-23, 204.66, 207.32, 201.37, 202.14, 957562, 0.0
2020-08-24, 202.31, 204.42, 200.67, 203.62, 1085179, 0.0
2020-08-25, 210, 220.56, 209.15, 216.7, 3639886, 0.0
2020-08-26, 213.93, 217.97, 204.02, 215.76, 4766682, 0.0
2020-08-27, 217.99, 223.33, 217.01, 220.29, 1835634, 0.0
2020-08-30, 220, 220.16, 215.77, 219.17, 1307741, 0.0
2020-08-31, 221.3748, 224.95, 218.92, 223.52, 1411489, 0.0
2020-09-01, 225.04, 225.8944, 217.2401, 221.79, 1061247, 0.0
2020-09-02, 216.2135, 217.18, 205.35, 206.83, 2048497, 0.0
