Date, Open, High, Low, Close, Volume, OI
2020-06-10, 127.69, 128.77, 123.06, 123.48, 4910798, 0.0
2020-06-11, 127.16, 128.2199, 125.49, 125.59, 636607, 0.0
2020-06-14, 123.38, 127.3088, 122.83, 127.3, 2036014, 0.0
2020-06-15, 131.83, 133.365, 125.79, 128.38, 4352426, 0.0
2020-06-16, 129.84, 131.98, 129.18, 130.69, 1343360, 0.0
2020-06-17, 130.23, 130.97, 128.32, 129.14, 2313385, 0.0
2020-06-18, 132.84, 132.84, 126.51, 127.26, 2028194, 0.0
2020-06-21, 127.16, 128.21, 125.32, 127.65, 1260037, 0.0
2020-06-22, 128.764, 129.73, 127.59, 128.37, 1238625, 0.0
2020-06-23, 128.31, 129.38, 125.02, 126.41, 1804157, 0.0
2020-06-24, 126.67, 127.565, 124.8, 127.3, 1083497, 0.0
2020-06-25, 126.6, 128.14, 124.9, 125.85, 1296697, 0.0
2020-06-28, 126.1357, 126.4, 123.41, 126.01, 884356, 0.0
2020-06-29, 125.94, 128.39, 125.42, 127.79, 1546711, 0.0
2020-06-30, 127.7, 127.7, 125.8, 125.84, 1234052, 0.0
2020-07-01, 127.52, 130.05, 127.285, 128.44, 1412264, 0.0
2020-07-05, 130.89, 133.28, 130.22, 131.43, 1205760, 0.0
2020-07-06, 133.53, 135.2299, 132.15, 132.2, 2258532, 0.0
2020-07-07, 133.14, 133.55, 130.58, 132.15, 1073071, 0.0
2020-07-08, 132.85, 133.6, 129.77, 132.73, 1065826, 0.0
2020-07-09, 132.74, 133.13, 129.72, 131.22, 923338, 0.0
2020-07-12, 133.32, 134.81, 128.82, 129.49, 1509191, 0.0
2020-07-13, 128.28, 131.49, 126.53, 131.27, 1541525, 0.0
2020-07-14, 131.88, 132.4, 129.01, 131.38, 1024797, 0.0
2020-07-15, 130, 132.55, 129.13, 131.83, 1185449, 0.0
2020-07-16, 132.48, 134.28, 131.81, 133.95, 1289963, 0.0
2020-07-19, 134.72, 138.07, 133.83, 137.81, 1675885, 0.0
2020-07-20, 139.2205, 139.88, 136.67, 137.49, 1687601, 0.0
2020-07-21, 137, 138.415, 135.1974, 136.31, 1296728, 0.0
2020-07-22, 137.12, 139.19, 135.09, 135.34, 1779083, 0.0
2020-07-23, 131.4744, 136, 128.5563, 131.6, 2734536, 0.0
2020-07-26, 133.61, 137.76, 132.32, 136.8, 1862647, 0.0
2020-07-27, 137.37, 137.95, 134.46, 134.68, 1523636, 0.0
2020-07-28, 135.88, 137.22, 134.59, 136.45, 1028122, 0.0
2020-07-29, 134.92, 142.26, 134.8, 142.25, 3018266, 0.0
2020-07-30, 144.41, 145.9, 141.25, 145.62, 3245088, 0.0
2020-08-02, 146.93, 149.49, 146.56, 147.18, 1397121, 0.0
2020-08-03, 147.44, 147.89, 142.96, 145.28, 1535323, 0.0
2020-08-04, 144.85, 146.12, 143.45, 145.37, 1234536, 0.0
2020-08-05, 145.7, 149.19, 145.09, 148.15, 1104398, 0.0
2020-08-06, 148.71, 148.73, 142.4, 144.25, 1379624, 0.0
2020-08-09, 143.59, 144.49, 141, 143.53, 1242194, 0.0
2020-08-10, 143.19, 144.57, 140.77, 141.34, 1534953, 0.0
2020-08-11, 142.3387, 147.85, 141.35, 147.56, 1473000, 0.0
2020-08-12, 147.7, 149.32, 146.8, 148.07, 1287395, 0.0
2020-08-13, 148.48, 148.62, 145.5, 146.11, 896150, 0.0
2020-08-16, 147.37, 147.6785, 144.64, 146.09, 901210, 0.0
2020-08-17, 145.47, 146.615, 143.07, 143.18, 1082121, 0.0
2020-08-18, 143.59, 143.865, 141.43, 141.98, 1565705, 0.0
2020-08-19, 140.64, 142.26, 139.36, 140.64, 1579723, 0.0
2020-08-20, 140.25, 142.31, 139.4, 142.05, 1164769, 0.0
2020-08-23, 143.67, 144.25, 141.02, 142.26, 1388773, 0.0
2020-08-24, 142.96, 143.88, 141.41, 142.6, 1027511, 0.0
2020-08-25, 142.48, 143.8027, 141.29, 142.69, 1100869, 0.0
2020-08-26, 143.47, 143.47, 138.701, 140.17, 1679352, 0.0
2020-08-27, 140.72, 143.71, 140.29, 143.62, 868670, 0.0
2020-08-30, 143.45, 145.39, 141.94, 144.84, 1349163, 0.0
2020-08-31, 145.98, 147.76, 144.5392, 146.47, 1231117, 0.0
2020-09-01, 148.5, 154.24, 147.218, 153.24, 1977042, 0.0
2020-09-02, 149.01, 149.59, 139.43, 139.9, 3146859, 0.0
