Date, Open, High, Low, Close, Volume, OI
2020-06-10, 27.04, 27.4, 26.45, 26.545, 11221054, 0.0
2020-06-11, 27.3, 27.49, 26.64, 26.645, 945477, 0.0
2020-06-14, 26, 27.05, 25.93, 26.83, 4713472, 0.0
2020-06-15, 27.67, 27.95, 25.86, 25.96, 15154026, 0.0
2020-06-16, 26.04, 26.255, 25.82, 25.96, 4431959, 0.0
2020-06-17, 26.33, 26.58, 26.005, 26.09, 6373647, 0.0
2020-06-18, 26.43, 26.75, 25.84, 26, 3840352, 0.0
2020-06-21, 26.2, 26.32, 25.62, 26.29, 3930739, 0.0
2020-06-22, 26.79, 26.94, 26.45, 26.67, 2865595, 0.0
2020-06-23, 26.3, 26.47, 25.64, 25.8, 4454116, 0.0
2020-06-24, 25.6, 26.18, 25.47, 26.16, 2768160, 0.0
2020-06-25, 26, 26.13, 25.8, 26.03, 2743687, 0.0
2020-06-28, 25.47, 26.29, 25.13, 26.09, 4130403, 0.0
2020-06-29, 26, 26.19, 25.79, 25.9, 3186434, 0.0
2020-06-30, 25.93, 26.56, 25.49, 25.65, 3476711, 0.0
2020-07-01, 26.36, 27.32, 26.19, 26.58, 4823435, 0.0
2020-07-05, 28.2, 28.64, 27.88, 28.07, 6132393, 0.0
2020-07-06, 27.25, 27.48, 26.95, 27.03, 3190964, 0.0
2020-07-07, 27.57, 27.59, 26.555, 27.2, 4530394, 0.0
2020-07-08, 27.685, 27.89, 26.84, 26.89, 5620857, 0.0
2020-07-09, 26.5, 27.03, 26.035, 26.73, 4482890, 0.0
2020-07-12, 27, 27.41, 26.665, 26.85, 5018851, 0.0
2020-07-13, 26.85, 26.86, 25.86, 26.09, 5638923, 0.0
2020-07-14, 26.795, 28.19, 26.795, 28.02, 5869930, 0.0
2020-07-15, 26.89, 27.07, 26.43, 26.9225, 4360226, 0.0
2020-07-16, 27.11, 27.2, 26.87, 27.08, 2222273, 0.0
2020-07-19, 27.2, 27.675, 26.8, 26.92, 2935309, 0.0
2020-07-20, 27.32, 28.05, 27.28, 27.525, 2733499, 0.0
2020-07-21, 27.32, 27.38, 26.67, 27.285, 3832243, 0.0
2020-07-22, 27.01, 27.38, 26.745, 26.85, 1825796, 0.0
2020-07-23, 26.38, 27.17, 26.3495, 27.14, 3341523, 0.0
2020-07-26, 26.9, 27.92, 26.82, 27.85, 4038672, 0.0
2020-07-27, 30.85, 30.9, 27.36, 27.73, 15116011, 0.0
2020-07-28, 28, 28.245, 27.5701, 27.95, 4842949, 0.0
2020-07-29, 27.54, 27.675, 27.25, 27.455, 3348388, 0.0
2020-07-30, 27.32, 27.44, 26.75, 27.2, 3071695, 0.0
2020-08-02, 27.455, 27.995, 27.29, 27.87, 3627299, 0.0
2020-08-03, 27.93, 28.035, 27.345, 27.78, 4449454, 0.0
2020-08-04, 27.88, 28.16, 27.76, 28.04, 3564860, 0.0
2020-08-05, 28, 28.02, 27.585, 28, 2324101, 0.0
2020-08-06, 27.66, 28.08, 27.38, 27.82, 3181214, 0.0
2020-08-09, 28.315, 28.71, 28.2, 28.4, 5325702, 0.0
2020-08-10, 28.63, 29.345, 28.608, 28.66, 4977550, 0.0
2020-08-11, 28.89, 29.39, 28.88, 29.36, 4520920, 0.0
2020-08-12, 29.49, 29.625, 28.51, 28.7, 3200051, 0.0
2020-08-13, 28.8, 28.81, 28.35, 28.55, 3046848, 0.0
2020-08-16, 28.81, 28.81, 28.27, 28.3, 2319759, 0.0
2020-08-17, 28.24, 28.52, 28, 28.07, 2453138, 0.0
2020-08-18, 28, 28.25, 27.585, 27.81, 2409835, 0.0
2020-08-19, 27.79, 28.165, 27.72, 28.01, 2121451, 0.0
2020-08-20, 27.79, 28.22, 27.79, 28.13, 2737594, 0.0
2020-08-23, 28.51, 28.955, 28.39, 28.58, 4131470, 0.0
2020-08-24, 28.49, 28.83, 28.41, 28.74, 4373009, 0.0
2020-08-25, 28.7, 28.76, 28.255, 28.6, 7931604, 0.0
2020-08-26, 28.96, 29.135, 28.4188, 29.03, 4043628, 0.0
2020-08-27, 29.1, 30.95, 29, 30.64, 5723280, 0.0
2020-08-30, 29.66, 30.94, 29.65, 30.22, 5204841, 0.0
2020-08-31, 30.76, 30.76, 29.71, 30.65, 4028951, 0.0
2020-09-01, 30.66, 31.015, 30.16, 30.59, 4102930, 0.0
2020-09-02, 30.19, 30.77, 29.4, 30.12, 4277107, 0.0
