Date, Open, High, Low, Close, Volume, OI
2020-06-10, 104.51, 105.31, 100.74, 100.88, 12992540, 0.0
2020-06-11, 104.25, 105.05, 102.33, 102.43, 1088326, 0.0
2020-06-14, 101.32, 105.19, 100.727, 104.68, 2916745, 0.0
2020-06-15, 104, 104, 100.11, 102.97, 10274411, 0.0
2020-06-16, 103, 104.8, 102.34, 102.62, 2927284, 0.0
2020-06-17, 103.82, 106.84, 103.25, 106.38, 8162988, 0.0
2020-06-18, 107.34, 109, 106.39, 107, 5630639, 0.0
2020-06-21, 106.86, 108.7, 106.03, 106.51, 4405728, 0.0
2020-06-22, 103.7, 110.46, 103.5, 107.17, 18559928, 0.0
2020-06-23, 105.46, 109.14, 104.57, 108.38, 50554586, 0.0
2020-06-24, 109.78, 111.58, 108.51, 110.17, 28212971, 0.0
2020-06-25, 109.15, 109.85, 104.73, 105.27, 13865090, 0.0
2020-06-28, 105.79, 106.26, 103.95, 105.98, 8084376, 0.0
2020-06-29, 105.9, 106.2, 104, 104.15, 8239113, 0.0
2020-06-30, 105.68, 106.25, 103.85, 106.14, 8551280, 0.0
2020-07-01, 106.95, 107.34, 105.35, 106.01, 5841697, 0.0
2020-07-05, 106.6, 107.68, 106.2, 106.77, 4242845, 0.0
2020-07-06, 106.44, 107.59, 105.55, 105.83, 4987466, 0.0
2020-07-07, 106.25, 106.63, 105.365, 106.54, 3290544, 0.0
2020-07-08, 106.66, 106.72, 105.05, 106.16, 3166470, 0.0
2020-07-09, 105.8155, 107.19, 105.29, 107.04, 4152102, 0.0
2020-07-12, 106.89, 107.55, 104.23, 104.49, 5038255, 0.0
2020-07-13, 103.57, 106.535, 103.57, 105.35, 6192723, 0.0
2020-07-14, 105.51, 106.08, 104.53, 104.92, 3888074, 0.0
2020-07-15, 104.5, 104.86, 103.4301, 104.31, 4925850, 0.0
2020-07-16, 104.87, 105.73, 104.09, 105.27, 3472540, 0.0
2020-07-19, 105.4, 106.28, 105.025, 106.15, 3075259, 0.0
2020-07-20, 106.35, 106.48, 105.25, 105.62, 3179636, 0.0
2020-07-21, 105.66, 106.34, 104.74, 104.95, 3797645, 0.0
2020-07-22, 105.21, 105.28, 104.36, 104.51, 2934782, 0.0
2020-07-23, 104.52, 105.23, 104.23, 104.94, 4433831, 0.0
2020-07-26, 104.53, 106.27, 104.35, 105.62, 4817729, 0.0
2020-07-27, 105, 105.5, 104, 104.49, 3265089, 0.0
2020-07-28, 105.22, 106.37, 104.54, 105.78, 2651799, 0.0
2020-07-29, 104.72, 105.95, 104.59, 105.48, 2413547, 0.0
2020-07-30, 105.63, 107.42, 105.05, 107.42, 3213079, 0.0
2020-08-02, 107.98, 108.74, 106.82, 106.88, 2789028, 0.0
2020-08-03, 106.63, 108.42, 106.3838, 108.39, 2507521, 0.0
2020-08-04, 108.74, 109.16, 107.26, 107.83, 2283656, 0.0
2020-08-05, 107.32, 108.3, 107.18, 108.1, 2988243, 0.0
2020-08-06, 113.24, 118, 113.09, 115.08, 13172261, 0.0
2020-08-09, 114.87, 116.65, 113.6, 116.14, 3775946, 0.0
2020-08-10, 116.08, 116.2, 113.28, 113.59, 4031108, 0.0
2020-08-11, 114.27, 116.24, 114.07, 115.24, 2626689, 0.0
2020-08-12, 115.15, 117.15, 114.89, 115.36, 2534752, 0.0
2020-08-13, 115.6998, 116.09, 114.33, 115.5, 1686828, 0.0
2020-08-16, 115.98, 117.32, 115.82, 116.89, 2437352, 0.0
2020-08-17, 117.68, 117.73, 115.86, 115.97, 1985133, 0.0
2020-08-18, 116.69, 116.93, 114.92, 115.14, 1957963, 0.0
2020-08-19, 114.56, 115.86, 114.51, 115.4, 1828428, 0.0
2020-08-20, 114.34, 115.25, 113.3821, 115.02, 2013412, 0.0
2020-08-23, 115.03, 116.09, 114.755, 115.28, 2301102, 0.0
2020-08-24, 115.56, 115.56, 114.6, 115.34, 1949897, 0.0
2020-08-25, 115.11, 116.24, 114.74, 116.18, 2174714, 0.0
2020-08-26, 116.62, 116.62, 115, 115.24, 2193823, 0.0
2020-08-27, 115.25, 116.35, 114.88, 116.2599, 2144930, 0.0
2020-08-30, 115.49, 117.11, 115.41, 116.71, 2449715, 0.0
2020-08-31, 116.63, 117.33, 115.95, 116.89, 2337276, 0.0
2020-09-01, 117.83, 119.2, 117.14, 118.88, 2986494, 0.0
2020-09-02, 118.702, 119.15, 113.93, 114.84, 3699104, 0.0
