Date, Open, High, Low, Close, Volume, OI
2020-06-10, 990.2, 1018.9599, 972.11, 972.41, 29440376, 0.0
2020-06-11, 980, 987.98, 936.25, 936.25, 5885153, 0.0
2020-06-14, 917.79, 998.84, 908.5, 990.75, 14933856, 0.0
2020-06-15, 1011.85, 1012.88, 962.39, 981.51, 26814330, 0.0
2020-06-16, 987.71, 1005, 982.571, 990.56, 9026154, 0.0
2020-06-17, 1003, 1019.2, 994.4708, 1004.02, 18626163, 0.0
2020-06-18, 1012.78, 1015.9699, 991.34, 1000.57, 7941809, 0.0
2020-06-21, 999.95, 1008.88, 990.02, 994.54, 6108565, 0.0
2020-06-22, 998.88, 1012, 994.0101, 1001.66, 6015204, 0.0
2020-06-23, 994.11, 1000.8846, 953.1414, 960.85, 10724665, 0.0
2020-06-24, 954.27, 985.98, 937.15, 985.98, 8834648, 0.0
2020-06-25, 994.78, 995, 954.87, 960.76, 7736337, 0.0
2020-06-28, 969.01, 1010, 948.5201, 1009.89, 8732336, 0.0
2020-06-29, 1006.5, 1087.69, 1003.73, 1079, 16212153, 0.0
2020-06-30, 1083, 1135.33, 1080.5, 1119.54, 12887738, 0.0
2020-07-01, 1221.48, 1228, 1185.6, 1208.8, 15501212, 0.0
2020-07-05, 1276.69, 1377.79, 1266.044, 1371, 18885360, 0.0
2020-07-06, 1405.01, 1429.5, 1336.71, 1389.69, 20456393, 0.0
2020-07-07, 1405, 1417.26, 1311.34, 1365.8054, 15747236, 0.0
2020-07-08, 1396.99, 1408.56, 1351.28, 1393.81, 11159292, 0.0
2020-07-09, 1396, 1548.915, 1376.0101, 1546.01, 22730537, 0.0
2020-07-12, 1659, 1794.99, 1471.1101, 1494.1, 37309610, 0.0
2020-07-13, 1556, 1590, 1431, 1516.385, 21744713, 0.0
2020-07-14, 1543, 1550, 1457, 1546.875, 15414147, 0.0
2020-07-15, 1477.16, 1531.71, 1466, 1498.7701, 13387034, 0.0
2020-07-16, 1513.45, 1537.51, 1490, 1500.45, 8970942, 0.0
2020-07-19, 1519.01, 1650, 1488, 1642.47, 16357003, 0.0
2020-07-20, 1639.93, 1675, 1558, 1567.58, 15315602, 0.0
2020-07-21, 1599, 1626.42, 1562, 1590.58, 11174728, 0.0
2020-07-22, 1678.95, 1689, 1502.64, 1513.68, 17448163, 0.0
2020-07-23, 1416.01, 1465, 1366.54, 1415.56, 18634529, 0.0
2020-07-26, 1435, 1547.94, 1413.0002, 1539.91, 15007344, 0.0
2020-07-27, 1504, 1564.7, 1474.42, 1475.35, 15010091, 0.0
2020-07-28, 1501, 1534.81, 1487, 1499.99, 9158146, 0.0
2020-07-29, 1488, 1513.24, 1471, 1487.42, 7337598, 0.0
2020-07-30, 1515, 1517.05, 1420.98, 1432, 11885250, 0.0
2020-08-02, 1449.2, 1509.81, 1444.3844, 1484.98, 6757657, 0.0
2020-08-03, 1495.01, 1527.41, 1462, 1486.25, 8233969, 0.0
2020-08-04, 1492.99, 1499.8384, 1468.31, 1485.18, 4824461, 0.0
2020-08-05, 1490.83, 1517.31, 1477.26, 1489.69, 5817775, 0.0
2020-08-06, 1499.5365, 1499.75, 1415.01, 1453.1, 8707648, 0.0
2020-08-09, 1427.54, 1439.99, 1385.84, 1419, 6238730, 0.0
2020-08-10, 1396, 1420, 1365, 1374, 7081523, 0.0
2020-08-11, 1470, 1585, 1435, 1554.423, 21016580, 0.0
2020-08-12, 1611, 1651.18, 1567.26, 1620.71, 19063440, 0.0
2020-08-13, 1664.99, 1668.8, 1626.64, 1651.5, 11738513, 0.0
2020-08-16, 1677, 1845.86, 1672.83, 1835.86, 19482112, 0.0
2020-08-17, 1898.99, 1923.9, 1845.11, 1888.11, 15300121, 0.0
2020-08-18, 1865, 1911, 1841.21, 1879, 11776286, 0.0
2020-08-19, 1860.68, 2021.99, 1857.06, 2001.3, 20432043, 0.0
2020-08-20, 2044.76, 2095.49, 2025.05, 2050, 20572968, 0.0
2020-08-23, 2126.275, 2129, 1927.52, 2015.695, 19295383, 0.0
2020-08-24, 1974.89, 2027.95, 1968, 2024.09, 10051608, 0.0
2020-08-25, 2060, 2166, 2053.6292, 2151.93, 13768358, 0.0
2020-08-26, 2180.46, 2295.6, 2142.5, 2239.76, 23059123, 0.0
2020-08-27, 2295.12, 2318.49, 2186.52, 2213.52, 19360294, 0.0
2020-08-30, 444.61, 500.14, 440.11, 498.51, 111197923, 0.0
2020-08-31, 502.14, 502.49, 470.51, 475.04, 81257715, 0.0
2020-09-01, 478.99, 479.04, 405.1206, 447.245, 92367647, 0.0
2020-09-02, 407.23, 431.8, 402, 407, 80478522, 0.0
