Date, Open, High, Low, Close, Volume, OI
2020-06-10, 137.12, 138.08, 134.06, 134.84, 3396926, 0.0
2020-06-11, 137.59, 137.81, 134.81, 134.81, 1035251, 0.0
2020-06-14, 134.14, 137.94, 133.8825, 137.09, 1782266, 0.0
2020-06-15, 137.92, 138.69, 135.07, 135.66, 2299256, 0.0
2020-06-16, 136.16, 139.8415, 136.16, 138.87, 1336168, 0.0
2020-06-17, 139.76, 141.634, 139, 141.3, 1883497, 0.0
2020-06-18, 142.32, 142.95, 139.46, 142.61, 1764492, 0.0
2020-06-21, 141.98, 143.2, 139.935, 141.17, 1152116, 0.0
2020-06-22, 141.7, 145.42, 141.58, 143.33, 1140864, 0.0
2020-06-23, 142.8687, 143.435, 137.4, 139.87, 1276453, 0.0
2020-06-24, 140.59, 140.76, 137.31, 140.37, 988945, 0.0
2020-06-25, 140.5, 141.94, 137.54, 141.29, 1416583, 0.0
2020-06-28, 141.93, 142.01, 136.81, 137.79, 1390535, 0.0
2020-06-29, 138.37, 140.78, 138.13, 139.51, 1547175, 0.0
2020-06-30, 138.4, 144.56, 137.5, 144.105, 1846778, 0.0
2020-07-01, 145.01, 146.085, 143.51, 144.5, 1429145, 0.0
2020-07-05, 145, 147.8, 144.34, 145.69, 1209838, 0.0
2020-07-06, 146.05, 149.87, 145.68, 147.27, 1531881, 0.0
2020-07-07, 148.74, 148.75, 145.48, 147.84, 1399197, 0.0
2020-07-08, 149, 151.29, 148.24, 150.72, 948957, 0.0
2020-07-09, 150.85, 154.88, 150.23, 153.91, 1167807, 0.0
2020-07-12, 154.46, 155.99, 146.15, 146.82, 1377907, 0.0
2020-07-13, 145.51, 151.28, 144.14, 151.06, 1137002, 0.0
2020-07-14, 150.02, 152.05, 147.95, 151.27, 1155127, 0.0
2020-07-15, 150.52, 151.17, 148.12, 149.9, 524050, 0.0
2020-07-16, 150.68, 151.14, 148.71, 150.52, 643264, 0.0
2020-07-19, 151.14, 155.21, 150.88, 154.7, 686743, 0.0
2020-07-20, 155.63, 156.32, 152.45, 153.06, 727758, 0.0
2020-07-21, 153.58, 155.48, 153.09, 154.05, 611221, 0.0
2020-07-22, 155.51, 155.88, 151.02, 151.5, 530767, 0.0
2020-07-23, 150.04, 156.675, 148.88, 156.1, 1511069, 0.0
2020-07-26, 157.16, 160.26, 156.67, 159.24, 974446, 0.0
2020-07-27, 158.11, 158.94, 156.02, 156.39, 638084, 0.0
2020-07-28, 157.56, 159.24, 156.86, 157.82, 582700, 0.0
2020-07-29, 156.72, 160.55, 155.921, 159.55, 897615, 0.0
2020-07-30, 163.92, 164.11, 160.07, 164.05, 1569189, 0.0
2020-08-02, 165.64, 169.19, 164.25, 167.68, 2263042, 0.0
2020-08-03, 175.69, 180.61, 172.0561, 177.62, 4198410, 0.0
2020-08-04, 175.62, 177.06, 171.34, 176.07, 1475006, 0.0
2020-08-05, 176.31, 177.89, 174.11, 177.34, 988485, 0.0
2020-08-06, 175.32, 176.55, 171.645, 174.92, 1145448, 0.0
2020-08-09, 173.375, 175.2, 171.87, 174.77, 809785, 0.0
2020-08-10, 173.76, 173.76, 165.335, 167.12, 1676205, 0.0
2020-08-11, 167.02, 170.26, 166.14, 168.1, 1045447, 0.0
2020-08-12, 169.22, 172.48, 169.13, 171.39, 708781, 0.0
2020-08-13, 173.26, 175.52, 172.21, 173.47, 985040, 0.0
2020-08-16, 175.72, 175.86, 173.805, 175.21, 547865, 0.0
2020-08-17, 175.7, 177.53, 173.52, 176.92, 735015, 0.0
2020-08-18, 175.84, 176.86, 171.55, 172.57, 1127451, 0.0
2020-08-19, 172, 175.51, 172, 174.45, 648786, 0.0
2020-08-20, 175.05, 175.05, 171.84, 173.15, 948291, 0.0
2020-08-23, 173.14, 174.72, 170.56, 172.55, 845856, 0.0
2020-08-24, 171.99, 173.933, 170.715, 173.005, 615772, 0.0
2020-08-25, 173.3, 175.58, 172.7, 175.39, 797552, 0.0
2020-08-26, 175.12, 175.6, 171.17, 172.67, 1470181, 0.0
2020-08-27, 173.13, 174.07, 170.46, 171.06, 733987, 0.0
2020-08-30, 170.68, 172.85, 169.57, 171.26, 744139, 0.0
2020-08-31, 171.7848, 174.1445, 171.05, 172.59, 806032, 0.0
2020-09-01, 172.96, 174.16, 170.26, 172.79, 1203988, 0.0
2020-09-02, 171.51, 171.7965, 164.52, 166.83, 1383736, 0.0
