Date, Open, High, Low, Close, Volume, OI
2020-06-10, 129.05, 129.2208, 124.33, 124.6, 9139944, 0.0
2020-06-11, 127.266, 127.74, 125.01, 125.01, 919369, 0.0
2020-06-14, 121.57, 124.53, 120.8, 124.29, 3728479, 0.0
2020-06-15, 128.27, 129.13, 124.475, 126.11, 5469790, 0.0
2020-06-16, 127.06, 127.865, 125.87, 126.18, 2157415, 0.0
2020-06-17, 125.73, 126.63, 125.09, 126.01, 4792345, 0.0
2020-06-18, 128.06, 128.24, 123.97, 125.01, 4855821, 0.0
2020-06-21, 124.77, 125.46, 123.11, 125.34, 2848583, 0.0
2020-06-22, 126.63, 128.095, 126, 126.6, 2984280, 0.0
2020-06-23, 125.29, 126.8, 123.13, 123.93, 3724334, 0.0
2020-06-24, 124, 125.34, 122.35, 125.06, 2181069, 0.0
2020-06-25, 124.63, 124.8908, 122.3965, 123.37, 3030717, 0.0
2020-06-28, 123.85, 124.95, 122.42, 124.8, 2951532, 0.0
2020-06-29, 124.4, 127.7, 124.35, 126.92, 3324434, 0.0
2020-06-30, 126.6, 126.86, 124.67, 124.77, 2712950, 0.0
2020-07-01, 126.39, 127.17, 125.02, 125.79, 3042541, 0.0
2020-07-05, 127.51, 130.53, 126.2, 129.53, 3610881, 0.0
2020-07-06, 128.73, 129.47, 128.25, 128.56, 3058531, 0.0
2020-07-07, 129.67, 129.74, 127.69, 129.31, 1948705, 0.0
2020-07-08, 128.79, 131.99, 126.9, 130.38, 4284011, 0.0
2020-07-09, 130.22, 131.235, 128.96, 130.48, 2095230, 0.0
2020-07-12, 132, 133.59, 128.49, 128.8, 4110519, 0.0
2020-07-13, 127.79, 132.23, 126.71, 131.89, 3521638, 0.0
2020-07-14, 131.43, 132.45, 130.09, 132.18, 2627816, 0.0
2020-07-15, 130.85, 132.69, 130.51, 132.15, 2631370, 0.0
2020-07-16, 133.51, 135, 132.25, 133.88, 3548506, 0.0
2020-07-19, 134.2, 137, 133.19, 136.58, 3702600, 0.0
2020-07-20, 137.0881, 137.65, 135.26, 135.5, 6363044, 0.0
2020-07-21, 134.6, 135.18, 130.49, 132.52, 9521020, 0.0
2020-07-22, 133, 133.15, 128.59, 129.04, 4948219, 0.0
2020-07-23, 129.75, 131.97, 128.11, 129.61, 4404278, 0.0
2020-07-26, 130.35, 132.33, 130.04, 132.13, 2941145, 0.0
2020-07-27, 130.9, 131.81, 129.72, 130.13, 3026794, 0.0
2020-07-28, 130.93, 132.3, 130.59, 131.64, 2342283, 0.0
2020-07-29, 128.45, 129.87, 127.74, 128.89, 3342745, 0.0
2020-07-30, 128.35, 128.6, 125.43, 127.51, 6774392, 0.0
2020-08-02, 128.15, 129.5, 127.68, 129.32, 2721377, 0.0
2020-08-03, 129.04, 132.33, 128.71, 132.28, 3976737, 0.0
2020-08-04, 130.5, 132.79, 130.48, 132.72, 3744211, 0.0
2020-08-05, 132.59, 133.82, 132.03, 133.75, 2513836, 0.0
2020-08-06, 133.74, 134.11, 132.47, 133.59, 2112472, 0.0
2020-08-09, 133.46, 135.81, 132.47, 135.41, 3264055, 0.0
2020-08-10, 136.81, 138.83, 135.65, 136, 4825383, 0.0
2020-08-11, 137.47, 139.1399, 136.65, 138.64, 2476823, 0.0
2020-08-12, 138.11, 138.6, 136.95, 137.11, 2472038, 0.0
2020-08-13, 137.73, 138.31, 137, 137.35, 1688324, 0.0
2020-08-16, 137.86, 139.24, 137.63, 138.28, 1850094, 0.0
2020-08-17, 138.96, 139.455, 138.2, 139.29, 2299824, 0.0
2020-08-18, 139.67, 140.88, 138.03, 138.48, 2915034, 0.0
2020-08-19, 137.31, 139.13, 136.62, 138.57, 2349178, 0.0
2020-08-20, 138.12, 140.49, 137.19, 140.37, 3227164, 0.0
2020-08-23, 140.86, 141.81, 139.9196, 141.06, 1897826, 0.0
2020-08-24, 141.58, 142.215, 140.98, 141.71, 2252708, 0.0
2020-08-25, 141.32, 142.69, 141.12, 142.45, 2000953, 0.0
2020-08-26, 143.06, 143.23, 140.52, 141.49, 2419188, 0.0
2020-08-27, 141.51, 143.59, 141.1, 143.49, 2141411, 0.0
2020-08-30, 142.65, 143.27, 141.82, 142.04, 2385380, 0.0
2020-08-31, 143, 145.06, 142.04, 144.96, 2936208, 0.0
2020-09-01, 146.45, 148.37, 145.49, 147.68, 3622823, 0.0
2020-09-02, 147, 147.44, 140.56, 141.67, 4555972, 0.0
