Date, Open, High, Low, Close, Volume, OI
2020-06-10, 225.28, 230.78, 223.0597, 225.88, 2588720, 0.0
2020-06-11, 232.4, 236.31, 227.335, 227.335, 275608, 0.0
2020-06-14, 218.71, 225.8, 214.5, 225.57, 1000067, 0.0
2020-06-15, 235, 236.16, 225, 225.79, 2275201, 0.0
2020-06-16, 226.87, 229.84, 222.4196, 223.55, 1109263, 0.0
2020-06-17, 221.57, 224.09, 217.51, 219.17, 1927256, 0.0
2020-06-18, 227.62, 229.3, 208.51, 212.21, 2005714, 0.0
2020-06-21, 214, 214.11, 205.08, 205.51, 1622211, 0.0
2020-06-22, 208.24, 209.7728, 205.69, 206.72, 1455050, 0.0
2020-06-23, 205, 206.43, 194.12, 200.11, 1929946, 0.0
2020-06-24, 198.33, 198.8, 191.66, 194.28, 2019902, 0.0
2020-06-25, 193.63, 193.96, 188.9, 190, 1694321, 0.0
2020-06-28, 191, 200.33, 186.01, 198.75, 1898927, 0.0
2020-06-29, 198.5, 204.15, 196.1, 203.28, 1337014, 0.0
2020-06-30, 202.62, 209.8476, 200.83, 203.7, 1176469, 0.0
2020-07-01, 207.84, 208.43, 202.1, 203.81, 725362, 0.0
2020-07-05, 207.15, 209.43, 204.33, 208.83, 836216, 0.0
2020-07-06, 205.61, 206.83, 201.1888, 202.93, 895533, 0.0
2020-07-07, 202.3, 204.43, 199.3, 201.93, 909412, 0.0
2020-07-08, 201.95, 202.135, 191.09, 192.23, 1174263, 0.0
2020-07-09, 193.13, 196.53, 191.84, 195.96, 1579384, 0.0
2020-07-12, 197.88, 199.355, 192.4601, 192.6887, 1080526, 0.0
2020-07-13, 191.8, 193.335, 186.975, 191.87, 1353332, 0.0
2020-07-14, 199.05, 205.24, 197.75, 203.76, 1271255, 0.0
2020-07-15, 200.38, 203.83, 200.37, 203.45, 697900, 0.0
2020-07-16, 203.07, 206.5, 201.9, 203, 679539, 0.0
2020-07-19, 202.13, 202.395, 196, 199.96, 647920, 0.0
2020-07-20, 198, 207.85, 196.25, 202.13, 1144248, 0.0
2020-07-21, 201.43, 206.07, 200.59, 205.44, 712854, 0.0
2020-07-22, 204.62, 209.17, 204.445, 205.79, 620094, 0.0
2020-07-23, 204.49, 206.32, 202.452, 203.84, 555191, 0.0
2020-07-26, 202.25, 202.54, 195.77, 198.84, 1211101, 0.0
2020-07-27, 198.75, 202.16, 197.21, 197.58, 552448, 0.0
2020-07-28, 198.91, 205.495, 198.53, 203.0019, 666777, 0.0
2020-07-29, 200.26, 200.7693, 196.21, 198.54, 716569, 0.0
2020-07-30, 198.525, 199.27, 190.84, 192.99, 1228744, 0.0
2020-08-02, 193.14, 193.685, 188.1793, 191.43, 882553, 0.0
2020-08-03, 191.58, 199.11, 191.29, 198.6, 984963, 0.0
2020-08-04, 199.88, 203.3, 198.11, 201.96, 873227, 0.0
2020-08-05, 200.85, 206.595, 200.85, 203.97, 741210, 0.0
2020-08-06, 204, 204.37, 201.41, 203.87, 514187, 0.0
2020-08-09, 207.32, 220.45, 206.54, 219.12, 1485938, 0.0
2020-08-10, 221.93, 226.3574, 214.67, 216.23, 1021341, 0.0
2020-08-11, 217.84, 218.72, 212.33, 217.83, 529416, 0.0
2020-08-12, 215.53, 223.11, 215.53, 222.41, 664344, 0.0
2020-08-13, 222.52, 226.59, 219.1301, 225.52, 688108, 0.0
2020-08-16, 226.43, 229, 220.44, 224.06, 633479, 0.0
2020-08-17, 222.87, 223.582, 215.79, 216.24, 864726, 0.0
2020-08-18, 215.24, 218.37, 212.165, 213.36, 776901, 0.0
2020-08-19, 208.5, 210.01, 203.9, 205.46, 1268077, 0.0
2020-08-20, 204.39, 215.2, 203.99, 214, 1373205, 0.0
2020-08-23, 214.94, 222.5, 210.48, 222.41, 1128750, 0.0
2020-08-24, 223.27, 224, 217.5, 219.75, 802082, 0.0
2020-08-25, 219.02, 223.49, 216.06, 220.68, 938016, 0.0
2020-08-26, 222.49, 226.14, 219.61, 223.95, 1496006, 0.0
2020-08-27, 253.95, 256.6, 234.55, 237.02, 6365864, 0.0
2020-08-30, 235.2, 237.7, 230.8, 232.03, 1176398, 0.0
2020-08-31, 230.53, 233.1, 227.8201, 232.92, 1049911, 0.0
2020-09-01, 233.61, 238.14, 230, 237.66, 790458, 0.0
2020-09-02, 237.98, 242.58, 234.73, 238.05, 907391, 0.0
