Date, Open, High, Low, Close, Volume, OI
2020-06-10, 170.04, 171.11, 162.37, 162.7, 1513280, 0.0
2020-06-11, 164.46, 165.71, 163.39, 163.549, 238955, 0.0
2020-06-14, 159.47, 165.69, 159.17, 165.47, 641168, 0.0
2020-06-15, 169.79, 170.515, 165.095, 166.431, 1077669, 0.0
2020-06-16, 166.68, 168.21, 166.59, 167.04, 270008, 0.0
2020-06-17, 167.41, 168.55, 166.06, 166.85, 738977, 0.0
2020-06-18, 167.18, 169.78, 164.09, 164.18, 911032, 0.0
2020-06-21, 163.99, 167.63, 163.27, 167.18, 398097, 0.0
2020-06-22, 169.37, 169.37, 166.56, 166.81, 404622, 0.0
2020-06-23, 166.21, 167.33, 163.26, 163.78, 553274, 0.0
2020-06-24, 163.43, 166.53, 161.79, 166.26, 643686, 0.0
2020-06-25, 166.91, 168.08, 161.4, 163, 1014724, 0.0
2020-06-28, 163.27, 164.53, 161.1, 164.34, 410772, 0.0
2020-06-29, 164.08, 171.1, 162.92, 170.23, 854682, 0.0
2020-06-30, 169.23, 173.19, 168.48, 172.38, 658992, 0.0
2020-07-01, 173.51, 174.29, 171.75, 173.1, 785478, 0.0
2020-07-05, 175.57, 176.48, 172.0746, 173.48, 798994, 0.0
2020-07-06, 172.73, 175.8, 169.84, 172.98, 714198, 0.0
2020-07-07, 174.83, 174.83, 171.145, 172.83, 586701, 0.0
2020-07-08, 172.49, 173.99, 170.58, 173.2, 622012, 0.0
2020-07-09, 173.6, 174.29, 170.71, 174.25, 397552, 0.0
2020-07-12, 175.21, 176.445, 172.05, 172.97, 533750, 0.0
2020-07-13, 171.06, 174.83, 169.71, 174.59, 646664, 0.0
2020-07-14, 175.6, 176.1, 173.255, 175.38, 715454, 0.0
2020-07-15, 175.37, 176.07, 173.84, 175.415, 441080, 0.0
2020-07-16, 176.12, 178.55, 175.18, 178.47, 404525, 0.0
2020-07-19, 178, 182.55, 178, 181.6, 560825, 0.0
2020-07-20, 181.83, 182.05, 180.06, 180.68, 551296, 0.0
2020-07-21, 181.32, 181.82, 180.14, 181.3, 395795, 0.0
2020-07-22, 181.24, 183.92, 179.62, 180.53, 427614, 0.0
2020-07-23, 180.69, 181.44, 179.35, 179.9, 370554, 0.0
2020-07-26, 181.14, 183.45, 181.095, 183.26, 566634, 0.0
2020-07-27, 183.35, 184.76, 181.39, 182.51, 670574, 0.0
2020-07-28, 182.8, 188.39, 182.8, 187.65, 666317, 0.0
2020-07-29, 185.74, 187.46, 184, 187.13, 388138, 0.0
2020-07-30, 187.9, 188.75, 184.845, 188.61, 369481, 0.0
2020-08-02, 188.85, 189.995, 186.7, 186.95, 451534, 0.0
2020-08-03, 187.25, 188.61, 185.89, 187.44, 907433, 0.0
2020-08-04, 188.26, 188.84, 184.48, 186.71, 533883, 0.0
2020-08-05, 187.49, 189.94, 186.835, 189.51, 543461, 0.0
2020-08-06, 188.91, 191.205, 188.44, 191.07, 496507, 0.0
2020-08-09, 189.99, 190.73, 188.93, 189.75, 412378, 0.0
2020-08-10, 190.77, 190.77, 187.2, 187.91, 383601, 0.0
2020-08-11, 188.46, 192.4, 187.89, 190.37, 449197, 0.0
2020-08-12, 189.87, 191.39, 189.79, 190.71, 287888, 0.0
2020-08-13, 190.74, 191.97, 188.47, 189.14, 235674, 0.0
2020-08-16, 189.59, 191.2, 188.119, 189.09, 526390, 0.0
2020-08-17, 189, 189.535, 188.25, 189.13, 393209, 0.0
2020-08-18, 189.63, 189.9, 186.71, 187.21, 341440, 0.0
2020-08-19, 186.23, 187.26, 185.74, 186.02, 490035, 0.0
2020-08-20, 185.24, 186.06, 184.28, 185.63, 548622, 0.0
2020-08-23, 186.33, 186.64, 184.52, 185.02, 500477, 0.0
2020-08-24, 186.32, 186.32, 184.2187, 185.92, 732260, 0.0
2020-08-25, 185.16, 187.06, 184.35, 186.36, 654982, 0.0
2020-08-26, 187.39, 188.49, 185.52, 186.52, 623038, 0.0
2020-08-27, 186.38, 187.43, 184.7, 187.35, 763215, 0.0
2020-08-30, 187.02, 187.2, 184.81, 186.53, 686065, 0.0
2020-08-31, 186.38, 188.08, 185.36, 187.69, 506752, 0.0
2020-09-01, 188.3, 193.61, 188.01, 192.76, 667549, 0.0
2020-09-02, 192.58, 192.77, 185.61, 187.42, 738306, 0.0
