Date, Open, High, Low, Close, Volume, OI
2020-06-10, 211.48, 213.325, 203.97, 204.26, 1168404, 0.0
2020-06-11, 207.32, 208.87, 204.92, 205.045, 109174, 0.0
2020-06-14, 201.79, 207.11, 200.45, 205.86, 385504, 0.0
2020-06-15, 209.82, 210.13, 205.4, 207.4, 594941, 0.0
2020-06-16, 208.55, 210.39, 207.8, 209.02, 379599, 0.0
2020-06-17, 209.28, 209.28, 206.06, 207.23, 571067, 0.0
2020-06-18, 209.05, 210.6, 204.18, 205.3, 734683, 0.0
2020-06-21, 205.15, 206.73, 204.13, 205.79, 329158, 0.0
2020-06-22, 207.89, 209.35, 206.14, 207.19, 480088, 0.0
2020-06-23, 205.43, 208.32, 201.58, 202.72, 455037, 0.0
2020-06-24, 202.4, 205.48, 197.761, 205.11, 406434, 0.0
2020-06-25, 204.71, 207.43, 201.58, 203.65, 516112, 0.0
2020-06-28, 205.1, 205.61, 200.39, 203.92, 377043, 0.0
2020-06-29, 203.39, 207.98, 203.315, 206.66, 301598, 0.0
2020-06-30, 206.13, 211.49, 205.925, 210.36, 307834, 0.0
2020-07-01, 209.95, 213.79, 209.49, 211.03, 421064, 0.0
2020-07-05, 213.68, 216.01, 211.62, 212.2, 381660, 0.0
2020-07-06, 211.11, 216.66, 210.76, 210.86, 374023, 0.0
2020-07-07, 211.95, 213.04, 208.84, 210.81, 366668, 0.0
2020-07-08, 210.92, 213.62, 209.6, 212.61, 370603, 0.0
2020-07-09, 211.78, 212.32, 209.48, 209.8, 374049, 0.0
2020-07-12, 211.19, 211.19, 200.7, 201.16, 601350, 0.0
2020-07-13, 199.22, 200.95, 196.34, 198.62, 895762, 0.0
2020-07-14, 199.99, 201.31, 198.53, 199.18, 534531, 0.0
2020-07-15, 198, 198.96, 197.48, 198.42, 612196, 0.0
2020-07-16, 199.43, 201.37, 198, 199.69, 675516, 0.0
2020-07-19, 200, 208.63, 199.45, 207.74, 681339, 0.0
2020-07-20, 208.1, 208.775, 204.23, 205.03, 659569, 0.0
2020-07-21, 206.19, 207.25, 204.695, 205.74, 486083, 0.0
2020-07-22, 206.12, 210.41, 205.04, 205.92, 613718, 0.0
2020-07-23, 207.1, 213, 204.575, 208.7, 1152578, 0.0
2020-07-26, 208.26, 210.845, 207.175, 209.84, 489376, 0.0
2020-07-27, 209.47, 210.4, 206.19, 206.42, 523392, 0.0
2020-07-28, 206.83, 211.15, 206.83, 208.78, 475923, 0.0
2020-07-29, 205.19, 208.99, 204.45, 208.53, 470688, 0.0
2020-07-30, 209.19, 211.73, 208.18, 211.68, 421160, 0.0
2020-08-02, 211.63, 213.51, 211.14, 212.23, 254580, 0.0
2020-08-03, 211.87, 214.72, 211.34, 214.5, 623088, 0.0
2020-08-04, 215, 215.75, 211.14, 212.16, 426240, 0.0
2020-08-05, 211.47, 213.6995, 208.87, 211.8, 463144, 0.0
2020-08-06, 211.31, 212.19, 208.82, 210.4, 327249, 0.0
2020-08-09, 207.19, 209, 205.09, 206.38, 381686, 0.0
2020-08-10, 206.83, 206.86, 201.5103, 201.8, 485496, 0.0
2020-08-11, 202.14, 205.47, 202.05, 205.18, 472959, 0.0
2020-08-12, 205.22, 211.73, 205.22, 210.33, 569250, 0.0
2020-08-13, 210.93, 211.19, 206.52, 207.28, 412334, 0.0
2020-08-16, 207.82, 209.14, 206.36, 206.81, 411126, 0.0
2020-08-17, 207.87, 208.95, 206.58, 206.99, 481326, 0.0
2020-08-18, 207.47, 207.98, 205.66, 206.23, 586677, 0.0
2020-08-19, 202.8, 208.74, 202.8, 208.16, 531523, 0.0
2020-08-20, 207.37, 207.55, 205.35, 206.73, 747259, 0.0
2020-08-23, 205.93, 208, 205.67, 207.14, 312224, 0.0
2020-08-24, 205.89, 207.9853, 205.42, 205.9, 452336, 0.0
2020-08-25, 206.84, 209.38, 205.945, 208.51, 527420, 0.0
2020-08-26, 209.97, 209.97, 207.13, 207.87, 320713, 0.0
2020-08-27, 207.89, 208.555, 206.13, 208.22, 314214, 0.0
2020-08-30, 209.35, 215.72, 209.11, 214.8, 700425, 0.0
2020-08-31, 215.37, 215.94, 213.03, 215.91, 514410, 0.0
2020-09-01, 217, 220.505, 217, 219.57, 656937, 0.0
2020-09-02, 220.08, 220.13, 205.96, 207.85, 1067936, 0.0
