Date, Open, High, Low, Close, Volume, OI
2020-06-10, 275.56, 276.36, 263.67, 263.71, 2859846, 0.0
2020-06-11, 268.12, 271.39, 266.56, 269.11, 420648, 0.0
2020-06-14, 264.77, 268.52, 262.24, 268.05, 1214569, 0.0
2020-06-15, 270.43, 275.69, 268.22, 273.6, 2624497, 0.0
2020-06-16, 273.88, 282.76, 273.77, 280.13, 1431960, 0.0
2020-06-17, 279.4, 282.2163, 275.93, 279.18, 2306383, 0.0
2020-06-18, 280.3, 295.54, 280.3, 293.25, 2484390, 0.0
2020-06-21, 294, 295, 287.8001, 293.16, 1431271, 0.0
2020-06-22, 294.06, 299.21, 293.31, 295.99, 1373816, 0.0
2020-06-23, 294.93, 297.71, 288.9, 291.19, 1350842, 0.0
2020-06-24, 292.38, 295.36, 288.8315, 295.19, 943568, 0.0
2020-06-25, 292.68, 293, 284.74, 285.99, 1299076, 0.0
2020-06-28, 286.95, 287.65, 280.89, 285.19, 1010083, 0.0
2020-06-29, 287.68, 292.37, 283, 290.59, 1694920, 0.0
2020-06-30, 290.5, 291.66, 283.7911, 286.28, 1561577, 0.0
2020-07-01, 288.52, 293.95, 287.45, 291.34, 974630, 0.0
2020-07-05, 294.36, 295, 289.63, 291.44, 1066800, 0.0
2020-07-06, 292.3, 306.08, 291.45, 299.11, 1408458, 0.0
2020-07-07, 300.05, 301.65, 292.13, 295.95, 1240090, 0.0
2020-07-08, 295.52, 297.79, 290.05, 295.4, 964744, 0.0
2020-07-09, 293.95, 295, 290.86, 294.45, 740990, 0.0
2020-07-12, 293.05, 296.85, 283.85, 284.74, 1339889, 0.0
2020-07-13, 283.14, 294.72, 279.117, 293.83, 1442822, 0.0
2020-07-14, 292.76, 295.346, 290.2, 295.11, 857862, 0.0
2020-07-15, 292.01, 293.33, 284.69, 290.4, 736342, 0.0
2020-07-16, 291.528, 294.67, 289.28, 294.53, 778428, 0.0
2020-07-19, 292.69, 304, 292.69, 303.11, 1055743, 0.0
2020-07-20, 300.65, 301.14, 290.96, 291.4, 938521, 0.0
2020-07-21, 293.56, 293.56, 286.46, 291.28, 704014, 0.0
2020-07-22, 291.33, 291.99, 283.32, 284.52, 742933, 0.0
2020-07-23, 281.78, 282.64, 276.5001, 278.55, 1682257, 0.0
2020-07-26, 280.8395, 285.57, 277.68, 284.46, 1261139, 0.0
2020-07-27, 283.83, 284.59, 278.14, 278.77, 919167, 0.0
2020-07-28, 280.28, 281.59, 278.09, 278.72, 803446, 0.0
2020-07-29, 275.0753, 282.28, 274.662, 279.46, 1311472, 0.0
2020-07-30, 278.8772, 283, 268.25, 272, 2474786, 0.0
2020-08-02, 274.2, 280.59, 274, 279.51, 1286612, 0.0
2020-08-03, 279.23, 280.57, 274.03, 275.71, 1006704, 0.0
2020-08-04, 275.41, 275.75, 271.16, 273.23, 1119843, 0.0
2020-08-05, 269.3, 273.88, 268.58, 273.34, 1037058, 0.0
2020-08-06, 273.48, 277.2, 269.95, 272.99, 810847, 0.0
2020-08-09, 271.18, 271.47, 265.09, 268.73, 947046, 0.0
2020-08-10, 266, 267.99, 261.3, 261.85, 1207938, 0.0
2020-08-11, 263.08, 271.35, 262.87, 270.85, 1012978, 0.0
2020-08-12, 270.06, 272.73, 266.87, 267, 857919, 0.0
2020-08-13, 268.29, 269.95, 265.8, 267.29, 828282, 0.0
2020-08-16, 267.9, 274.17, 267.84, 273.76, 775726, 0.0
2020-08-17, 275, 275, 269.26, 271.31, 628585, 0.0
2020-08-18, 270.85, 273.99, 269.53, 269.99, 646238, 0.0
2020-08-19, 270.67, 272.09, 268.6, 271.22, 567446, 0.0
2020-08-20, 271.73, 273.11, 267.99, 271.33, 859054, 0.0
2020-08-23, 269.9, 271.94, 263.47, 267.45, 891186, 0.0
2020-08-24, 268.17, 273.32, 266.225, 272.35, 748407, 0.0
2020-08-25, 272.86, 272.86, 268.82, 271.22, 701349, 0.0
2020-08-26, 272.95, 275.625, 269.72, 274.48, 806765, 0.0
2020-08-27, 272.94, 275.26, 268.1, 269.96, 666958, 0.0
2020-08-30, 270.35, 279.74, 270, 278.86, 1021094, 0.0
2020-08-31, 277.87, 279.96, 271.77, 275.6, 1093745, 0.0
2020-09-01, 275.64, 283.45, 273.72, 281.86, 1106609, 0.0
2020-09-02, 281.86, 281.86, 265.25, 267.42, 1230341, 0.0
