Date, Open, High, Low, Close, Volume, OI
2020-06-10, 43.18, 43.2, 40.73, 40.76, 13449194, 0.0
2020-06-11, 41.8588, 42.6, 41.28, 41.32, 1281101, 0.0
2020-06-14, 40.4572, 41.98, 39.83, 41.48, 4606646, 0.0
2020-06-15, 42.49, 42.95, 41.145, 42.14, 9103419, 0.0
2020-06-16, 42.3, 42.77, 41.82, 42.16, 3556122, 0.0
2020-06-17, 41.68, 42.45, 41.38, 41.98, 5247722, 0.0
2020-06-18, 42.48, 44.5, 42.2, 44.05, 7636577, 0.0
2020-06-21, 43.55, 43.72, 42.76, 43.23, 4529730, 0.0
2020-06-22, 43.99, 44.23, 42.72, 42.81, 4354442, 0.0
2020-06-23, 42.68, 42.68, 40.85, 41.17, 5267582, 0.0
2020-06-24, 41.12, 42.2731, 40.72, 42.02, 6015479, 0.0
2020-06-25, 41.87, 41.93, 40.75, 41.19, 4291637, 0.0
2020-06-28, 41.44, 42.64, 41.38, 42.31, 4482251, 0.0
2020-06-29, 42.12, 42.58, 41.76, 42.38, 3416130, 0.0
2020-06-30, 42.15, 42.77, 40.75, 40.87, 6522208, 0.0
2020-07-01, 41.31, 42.33, 41.255, 41.97, 6486045, 0.0
2020-07-05, 42.65, 43.81, 42.6265, 43.16, 6119921, 0.0
2020-07-06, 42.77, 42.88, 42.12, 42.22, 4411067, 0.0
2020-07-07, 43.48, 43.48, 41.94, 42.26, 6526324, 0.0
2020-07-08, 40.2, 40.25, 38.05, 39.01, 27537045, 0.0
2020-07-09, 38.67, 40.19, 38.5, 40.11, 10749345, 0.0
2020-07-12, 40.18, 40.36, 39.445, 39.59, 8621511, 0.0
2020-07-13, 39.43, 40.2, 38.915, 40.11, 5206387, 0.0
2020-07-14, 40.44, 40.97, 39.93, 40.68, 5586173, 0.0
2020-07-15, 40.51, 41.69, 40.38, 41.37, 3548465, 0.0
2020-07-16, 41.59, 41.885, 41.31, 41.42, 2999274, 0.0
2020-07-19, 41.19, 41.19, 40.26, 40.45, 3410148, 0.0
2020-07-20, 40.5, 41.51, 40.25, 40.42, 5495803, 0.0
2020-07-21, 40.4, 40.72, 40, 40.69, 3942769, 0.0
2020-07-22, 40.9, 40.98, 40.0299, 40.34, 2925097, 0.0
2020-07-23, 40.37, 41.285, 40.3, 40.51, 3636746, 0.0
2020-07-26, 40.61, 40.95, 39.225, 39.84, 7524264, 0.0
2020-07-27, 39.93, 41.0099, 39.84, 40.68, 5085796, 0.0
2020-07-28, 40.83, 41.26, 40.11, 41.15, 4355639, 0.0
2020-07-29, 40.55, 40.845, 39.99, 40.63, 4233417, 0.0
2020-07-30, 40.25, 40.89, 40.08, 40.71, 5545481, 0.0
2020-08-02, 40.58, 41.175, 39.95, 41.07, 3637815, 0.0
2020-08-03, 40.84, 41.07, 40.48, 40.94, 5372917, 0.0
2020-08-04, 40.85, 41.4, 40.58, 40.81, 5266721, 0.0
2020-08-05, 40.83, 41.4863, 40.65, 40.89, 3904182, 0.0
2020-08-06, 40.67, 41.61, 40.52, 41.52, 3849543, 0.0
2020-08-09, 42.51, 42.9, 42.17, 42.87, 3476960, 0.0
2020-08-10, 43.38, 44.05, 41.715, 41.85, 6066441, 0.0
2020-08-11, 42.3, 42.64, 41.57, 41.81, 3725495, 0.0
2020-08-12, 41.33, 41.61, 40.82, 41, 5106646, 0.0
2020-08-13, 40.8, 41.95, 40.78, 41.905, 4855919, 0.0
2020-08-16, 41.91, 41.9694, 40.81, 41.18, 4788564, 0.0
2020-08-17, 40.65, 41.54, 40.4418, 40.77, 4385882, 0.0
2020-08-18, 40.7689, 40.89, 40.13, 40.27, 4428855, 0.0
2020-08-19, 40, 40.14, 39.61, 39.71, 3059180, 0.0
2020-08-20, 39.53, 39.915, 39.3, 39.47, 4411288, 0.0
2020-08-23, 39.62, 40.19, 38.99, 39.73, 5043110, 0.0
2020-08-24, 39.94, 40.1, 39.13, 39.49, 4700087, 0.0
2020-08-25, 39.19, 39.38, 38.36, 38.66, 7023300, 0.0
2020-08-26, 38.65, 39.45, 38.46, 39.35, 5425288, 0.0
2020-08-27, 39.36, 39.4, 38.63, 38.765, 5111129, 0.0
2020-08-30, 38.61, 38.7121, 38, 38.03, 6598094, 0.0
2020-08-31, 37.89, 37.96, 36.5, 36.76, 9833670, 0.0
2020-09-01, 36.9, 37.57, 36.68, 37.17, 6614191, 0.0
2020-09-02, 37.27, 38.33, 36.74, 37.1, 7406124, 0.0
