Date, Open, High, Low, Close, Volume, OI
2020-06-10, 178.88, 180.28, 173.52, 173.58, 3418912, 0.0
2020-06-11, 178.35, 179.2, 173.5, 173.52, 356909, 0.0
2020-06-14, 171.02, 178.9, 170.29, 178, 2251004, 0.0
2020-06-15, 181, 184.301, 178.54, 181.14, 3178984, 0.0
2020-06-16, 181.73, 185.82, 181.32, 182.56, 1300351, 0.0
2020-06-17, 182.38, 188.25, 182.32, 187.97, 3164461, 0.0
2020-06-18, 189.5, 190.34, 181.14, 183.56, 2178688, 0.0
2020-06-21, 183.85, 186.34, 183.5, 184.8801, 964115, 0.0
2020-06-22, 185.82, 188.69, 184.49, 185.34, 1441047, 0.0
2020-06-23, 184.5, 185.71, 178.31, 180.07, 1431601, 0.0
2020-06-24, 179.65, 186.56, 178.95, 186.44, 1705020, 0.0
2020-06-25, 185.72, 188.43, 182.4, 187.6, 1932915, 0.0
2020-06-28, 186.26, 188.03, 181.66, 186.3, 1594813, 0.0
2020-06-29, 186.18, 188.69, 185.02, 187.2, 1750114, 0.0
2020-06-30, 187.37, 192.95, 186.1707, 191.56, 2269332, 0.0
2020-07-01, 193.97, 194, 188.2, 188.45, 1501083, 0.0
2020-07-05, 191.54, 194.65, 190.395, 190.79, 1538145, 0.0
2020-07-06, 190.47, 193.5, 189.29, 191.6, 1414157, 0.0
2020-07-07, 193.62, 199.615, 192.8, 198.31, 2247120, 0.0
2020-07-08, 199.44, 200, 193.94, 197.77, 1246060, 0.0
2020-07-09, 196.86, 196.89, 193.36, 195.9, 860385, 0.0
2020-07-12, 196.53, 197.16, 184.2598, 184.73, 1590108, 0.0
2020-07-13, 182.01, 186.17, 178.26, 185.63, 1587985, 0.0
2020-07-14, 186.65, 186.87, 180.14, 183.23, 1976197, 0.0
2020-07-15, 179.81, 182.77, 178.97, 181.42, 1031577, 0.0
2020-07-16, 181.4, 184.09, 179.8801, 182.88, 811844, 0.0
2020-07-19, 183.2, 194.85, 183.1601, 194, 1684544, 0.0
2020-07-20, 193.17, 193.74, 187.06, 188.52, 1047752, 0.0
2020-07-21, 189.98, 191.86, 186.35, 188.57, 771237, 0.0
2020-07-22, 187.39, 190.78, 184.61, 185.37, 493081, 0.0
2020-07-23, 183.37, 184.97, 181.2101, 182.77, 934701, 0.0
2020-07-26, 184.33, 184.74, 179.34, 183.74, 1098932, 0.0
2020-07-27, 183, 183.94, 180.08, 180.42, 1099193, 0.0
2020-07-28, 183, 184.71, 180.71, 183.9, 712482, 0.0
2020-07-29, 180, 181.49, 177.51, 180.54, 1447013, 0.0
2020-07-30, 181.21, 181.445, 176.8, 180.9, 1081831, 0.0
2020-08-02, 182.47, 182.78, 179.95, 181.6, 902825, 0.0
2020-08-03, 181.35, 182.34, 179.4, 181.53, 746619, 0.0
2020-08-04, 181.82, 184.88, 181.025, 184.04, 666313, 0.0
2020-08-05, 183.98, 184.22, 180.55, 183.69, 961296, 0.0
2020-08-06, 184.46, 184.46, 174.52, 177.47, 1538155, 0.0
2020-08-09, 175.02, 181.74, 174.93, 181.07, 1355490, 0.0
2020-08-10, 178.85, 180.39, 175.82, 177.54, 983084, 0.0
2020-08-11, 178.025, 181.06, 176.25, 178.26, 897137, 0.0
2020-08-12, 179.56, 185.87, 179.255, 183.82, 890664, 0.0
2020-08-13, 183.92, 185.48, 181.08, 181.67, 481332, 0.0
2020-08-16, 181.94, 186.06, 181.81, 185.24, 933801, 0.0
2020-08-17, 186.57, 192, 184.9542, 191.68, 1767913, 0.0
2020-08-18, 191.77, 193.96, 190.2, 191.21, 1071267, 0.0
2020-08-19, 190.94, 194.89, 189.75, 194.35, 941179, 0.0
2020-08-20, 191.63, 193.31, 190.52, 192.65, 815556, 0.0
2020-08-23, 194.15, 194.66, 190.945, 191.6, 1201832, 0.0
2020-08-24, 191.5, 194.57, 189.32, 193.93, 1691531, 0.0
2020-08-25, 200.95, 214.95, 199.43, 213.49, 5715659, 0.0
2020-08-26, 211.7, 219.29, 209, 216.79, 4493113, 0.0
2020-08-27, 240, 248.75, 238.08, 244.1, 10751311, 0.0
2020-08-30, 241.13, 246.9, 238.31, 239.7, 3122310, 0.0
2020-08-31, 241.7, 244.75, 238, 241.88, 2230149, 0.0
2020-09-01, 242.8, 243.38, 232.12, 233.48, 3060809, 0.0
2020-09-02, 230.26, 233.23, 219.89, 223, 2873045, 0.0
