Date, Open, High, Low, Close, Volume, OI
2020-06-10, 44.62, 44.67, 42.33, 42.36, 14919116, 0.0
2020-06-11, 43.94, 44.67, 42.56, 42.56, 1691180, 0.0
2020-06-14, 41.46, 43.18, 40.77, 42.94, 5257668, 0.0
2020-06-15, 45.16, 46.11, 43.63, 44.47, 10354110, 0.0
2020-06-16, 44.87, 44.87, 43.51, 43.7, 3249132, 0.0
2020-06-17, 43.2821, 43.5195, 42.47, 42.85, 7159471, 0.0
2020-06-18, 43.42, 45.0199, 43.2, 44.34, 6239868, 0.0
2020-06-21, 45.51, 45.54, 43.75, 45.11, 5389907, 0.0
2020-06-22, 45.36, 45.49, 43.3, 43.51, 5278386, 0.0
2020-06-23, 43.39, 43.42, 41.93, 42.25, 5192582, 0.0
2020-06-24, 41.89, 42.69, 41.37, 42.58, 3929797, 0.0
2020-06-25, 42.37, 42.47, 40.71, 40.87, 4188638, 0.0
2020-06-28, 41.09, 42.22, 40.6, 42, 3325420, 0.0
2020-06-29, 43.22, 44.31, 42.82, 44.15, 6314571, 0.0
2020-06-30, 44.01, 44.13, 42.045, 42.455, 5695051, 0.0
2020-07-01, 43.02, 43.39, 42.19, 42.47, 3560841, 0.0
2020-07-05, 43.27, 43.75, 42.55, 42.94, 3801390, 0.0
2020-07-06, 42.4, 42.84, 41.53, 41.72, 3548011, 0.0
2020-07-07, 41.93, 42.8, 41.59, 42.8, 2831065, 0.0
2020-07-08, 42.82, 43, 41.41, 42.32, 3420755, 0.0
2020-07-09, 42.12, 42.48, 41.46, 42.32, 2985172, 0.0
2020-07-12, 42.7, 43.1269, 41.825, 41.86, 3815974, 0.0
2020-07-13, 41.38, 42.18, 40.57, 42.04, 3456036, 0.0
2020-07-14, 42.99, 44.18, 42.68, 44.07, 4543300, 0.0
2020-07-15, 43.5, 44.26, 43.19, 43.83, 2859762, 0.0
2020-07-16, 44.15, 44.15, 43.04, 43.4, 2044851, 0.0
2020-07-19, 43.1, 43.87, 42.77, 43.56, 2698990, 0.0
2020-07-20, 43.96, 44.959, 43.81, 44.18, 3877187, 0.0
2020-07-21, 44.1, 44.24, 43.48, 43.94, 3022925, 0.0
2020-07-22, 43.9428, 47.39, 43.92, 46.16, 8737827, 0.0
2020-07-23, 45.36, 45.45, 42.71, 42.85, 7724931, 0.0
2020-07-26, 43.24, 43.755, 42.55, 43.71, 3722046, 0.0
2020-07-27, 43.4, 43.83, 42.77, 42.88, 2840689, 0.0
2020-07-28, 42.09, 42.95, 41.84, 42.41, 5145280, 0.0
2020-07-29, 41.89, 42.805, 41.39, 42.76, 3269286, 0.0
2020-07-30, 42.91, 43.14, 42.03, 43.1, 3277528, 0.0
2020-08-02, 43.15, 43.985, 42.41, 43.9, 2945844, 0.0
2020-08-03, 43.43, 44.78, 43.37, 44.76, 3500998, 0.0
2020-08-04, 45.02, 45.36, 44.0638, 44.45, 4415762, 0.0
2020-08-05, 39.1, 39.2112, 36.9, 37.3, 32983542, 0.0
2020-08-06, 37.39, 37.9, 36.5, 37, 9898798, 0.0
2020-08-09, 37.035, 37.78, 36.72, 37.36, 6438648, 0.0
2020-08-10, 37.51, 38.13, 36.88, 36.99, 5917640, 0.0
2020-08-11, 37.31, 37.32, 36.51, 36.76, 5815987, 0.0
2020-08-12, 36.4, 36.585, 35.63, 35.75, 8085638, 0.0
2020-08-13, 35.7, 36.07, 35.42, 35.75, 4539294, 0.0
2020-08-16, 35.91, 36.05, 35.46, 35.6, 3074551, 0.0
2020-08-17, 35.66, 35.66, 34.57, 34.72, 5699240, 0.0
2020-08-18, 34.9, 35.27, 34.34, 34.46, 4888310, 0.0
2020-08-19, 33.8, 34.37, 33.6, 34.1, 4353019, 0.0
2020-08-20, 33.7104, 33.9318, 33.53, 33.71, 4363319, 0.0
2020-08-23, 33.96, 34.63, 33.73, 34.54, 5438623, 0.0
2020-08-24, 34.8, 35.44, 34.21, 34.33, 4646149, 0.0
2020-08-25, 34.61, 34.61, 34.04, 34.3, 3791798, 0.0
2020-08-26, 34.5916, 35.34, 33.88, 35.23, 6457893, 0.0
2020-08-27, 35.46, 37.86, 35.36, 37.84, 10947723, 0.0
2020-08-30, 37.68, 38.53, 37.16, 38.41, 8560328, 0.0
2020-08-31, 38.0535, 38.34, 36.83, 37.34, 5447916, 0.0
2020-09-01, 37.6917, 39.26, 37.68, 38.86, 6778995, 0.0
2020-09-02, 38.56, 38.81, 36.7, 37.72, 6772419, 0.0
