Date, Open, High, Low, Close, Volume, OI
2020-06-10, 66.56, 66.7, 64.37, 65.14, 5838376, 0.0
2020-06-11, 65.41, 65.41, 64.63, 64.719, 497557, 0.0
2020-06-14, 62.62, 64.08, 62.13, 63.51, 2157098, 0.0
2020-06-15, 65.28, 65.63, 63.45, 63.74, 4992920, 0.0
2020-06-16, 64.3, 64.38, 63.055, 63.9, 2091594, 0.0
2020-06-17, 63.66, 64.61, 63.43, 64.54, 4916078, 0.0
2020-06-18, 64.6, 65.37, 63.38, 64, 3865793, 0.0
2020-06-21, 63.88, 65.75, 63.11, 65.18, 2804669, 0.0
2020-06-22, 65.485, 65.79, 63.96, 64.19, 1633700, 0.0
2020-06-23, 63.64, 64.21, 62.92, 63.68, 1724023, 0.0
2020-06-24, 63.95, 63.97, 62.12, 62.86, 1731867, 0.0
2020-06-25, 62.83, 63.62, 61.83, 62.32, 2445895, 0.0
2020-06-28, 63, 63, 62, 62.47, 2189658, 0.0
2020-06-29, 62.66, 63.17, 62.25, 62.49, 3028995, 0.0
2020-06-30, 62.35, 64.33, 62.35, 64.19, 3890339, 0.0
2020-07-01, 64.87, 65.07, 63.97, 64.11, 2631114, 0.0
2020-07-05, 64.73, 64.98, 63.02, 63.55, 1940159, 0.0
2020-07-06, 63.09, 63.84, 62.67, 63.6, 2202479, 0.0
2020-07-07, 63.44, 64.055, 62.995, 63.76, 2109107, 0.0
2020-07-08, 63.07, 63.57, 62.14, 63.25, 1514768, 0.0
2020-07-09, 63.35, 64.24, 63.22, 63.77, 1233040, 0.0
2020-07-12, 63.17, 64.93, 63.17, 64.18, 1820755, 0.0
2020-07-13, 63.89, 65.105, 63.89, 64.64, 2118059, 0.0
2020-07-14, 65.07, 65.58, 64.04, 64.2, 1595603, 0.0
2020-07-15, 64.46, 65.2, 64.14, 64.995, 1480996, 0.0
2020-07-16, 65.51, 66.5, 65.06, 66.37, 1440176, 0.0
2020-07-19, 66.38, 66.66, 65.73, 65.95, 1307719, 0.0
2020-07-20, 66.22, 66.94, 65.77, 66.26, 2417514, 0.0
2020-07-21, 66.19, 68.76, 65.84, 68.35, 2279670, 0.0
2020-07-22, 68.28, 68.78, 67.83, 68.3, 1034857, 0.0
2020-07-23, 68.78, 68.98, 67.49, 67.88, 1239001, 0.0
2020-07-26, 67.98, 68.16, 66.92, 67.51, 1624662, 0.0
2020-07-27, 67.4, 68.9, 67.23, 68.42, 1490947, 0.0
2020-07-28, 68.37, 68.8, 67.95, 68.73, 1419041, 0.0
2020-07-29, 67.8794, 69.55, 67.46, 69, 1723071, 0.0
2020-07-30, 68.52, 69.395, 68.04, 69.04, 2161320, 0.0
2020-08-02, 68.75, 69.01, 68.2, 68.75, 1635975, 0.0
2020-08-03, 68.7348, 70.23, 68.3858, 70, 2992490, 0.0
2020-08-04, 70.25, 70.25, 69.105, 69.8, 2166797, 0.0
2020-08-05, 69.79, 70.34, 69.41, 70.095, 1955712, 0.0
2020-08-06, 70.37, 72.835, 70.19, 72.34, 4667659, 0.0
2020-08-09, 72.03, 73, 71.94, 72.46, 2444528, 0.0
2020-08-10, 72.36, 72.47, 70.39, 70.52, 2834730, 0.0
2020-08-11, 70.72, 72.04, 70.53, 71.48, 1697328, 0.0
2020-08-12, 71.08, 71.58, 70.82, 71.27, 1243016, 0.0
2020-08-13, 71.28, 71.51, 70.56, 70.7, 1041360, 0.0
2020-08-16, 71.02, 71.02, 70.12, 70.18, 1743706, 0.0
2020-08-17, 70.12, 70.48, 69.74, 69.99, 1364268, 0.0
2020-08-18, 70.26, 70.26, 69.43, 69.59, 1446703, 0.0
2020-08-19, 69.31, 69.79, 68.82, 69.02, 1372797, 0.0
2020-08-20, 69.13, 69.74, 68.6581, 69.62, 1249601, 0.0
2020-08-23, 69.75, 70.42, 69.06, 70.4, 1071243, 0.0
2020-08-24, 70.27, 70.3, 68.735, 68.97, 1510788, 0.0
2020-08-25, 68.49, 68.69, 67.61, 68.13, 1371781, 0.0
2020-08-26, 68.58, 68.905, 68.105, 68.63, 1700301, 0.0
2020-08-27, 68.58, 68.69, 67.63, 68.65, 1505612, 0.0
2020-08-30, 68.23, 69.69, 67.95, 69.47, 1391546, 0.0
2020-08-31, 69.07, 69.07, 68.025, 68.55, 1665032, 0.0
2020-09-01, 68.43, 71.74, 68.12, 71.54, 2569387, 0.0
2020-09-02, 71.84, 72.43, 70.05, 70.66, 2350122, 0.0
