Date, Open, High, Low, Close, Volume, OI
2020-06-10, 93.38, 93.38, 89.68, 89.73, 5587154, 0.0
2020-06-11, 91.43, 92.91, 90.61, 90.61, 629653, 0.0
2020-06-14, 88.87, 91, 88.08, 90.67, 2455394, 0.0
2020-06-15, 93.76, 95.909, 92.43, 93.53, 5649717, 0.0
2020-06-16, 93.84, 94.17, 93.08, 93.51, 1444795, 0.0
2020-06-17, 92.97, 94.03, 92.64, 93.47, 2611976, 0.0
2020-06-18, 94.78, 95.26, 92.39, 94.79, 3040633, 0.0
2020-06-21, 94.53, 95.07, 93.1001, 94.48, 1879609, 0.0
2020-06-22, 95.19, 96.69, 95.1874, 95.25, 1657621, 0.0
2020-06-23, 94.5, 94.85, 92.6, 92.87, 2226557, 0.0
2020-06-24, 92.65, 93.55, 91, 93.28, 1950572, 0.0
2020-06-25, 91.93, 92.58, 90.4061, 91, 2079044, 0.0
2020-06-28, 91.3, 92, 90.71, 91.99, 1804438, 0.0
2020-06-29, 95.68, 99.3999, 94.21, 98.36, 8475094, 0.0
2020-06-30, 98.09, 98.4, 93.18, 93.27, 3582120, 0.0
2020-07-01, 94.56, 96.23, 93.91, 95.31, 2291535, 0.0
2020-07-05, 98.21, 102.29, 97.31, 102.11, 4926470, 0.0
2020-07-06, 101.5, 101.91, 99.01, 99.17, 2848302, 0.0
2020-07-07, 100.2519, 100.7, 98.28, 99.26, 2391838, 0.0
2020-07-08, 99.65, 101.13, 98.35, 100.24, 2579132, 0.0
2020-07-09, 99.66, 100.06, 98.09, 99.14, 2118446, 0.0
2020-07-12, 100.12, 101.47, 97.79, 97.9, 3318865, 0.0
2020-07-13, 97.22, 98.82, 96.05, 98.63, 2432511, 0.0
2020-07-14, 99.46, 99.64, 97.657, 99.34, 1748381, 0.0
2020-07-15, 98.31, 99.47, 97.405, 99.215, 1440937, 0.0
2020-07-16, 99.11, 101.44, 98.375, 100.48, 1937550, 0.0
2020-07-19, 100.29, 103.41, 100.13, 103.03, 1717377, 0.0
2020-07-20, 103.02, 103.49, 101.75, 102.14, 1776498, 0.0
2020-07-21, 102.64, 103.65, 102.22, 103.05, 1518955, 0.0
2020-07-22, 103.49, 105.4, 102.54, 103.09, 1722235, 0.0
2020-07-23, 102.13, 104.62, 101.82, 102.66, 2102856, 0.0
2020-07-26, 103.24, 107.17, 103.24, 106.81, 2638748, 0.0
2020-07-27, 106, 106, 104.26, 104.82, 1871295, 0.0
2020-07-28, 105.33, 108.3, 105.3, 107.86, 2185699, 0.0
2020-07-29, 107.5, 112.17, 107.5, 111.9, 4530249, 0.0
2020-07-30, 106.745, 108.315, 104.47, 107.47, 4554080, 0.0
2020-08-02, 107.49, 107.637, 104.44, 106.39, 2700641, 0.0
2020-08-03, 104.97, 108.14, 104.9507, 107.75, 3214069, 0.0
2020-08-04, 107.33, 108.75, 105.78, 107.56, 1810727, 0.0
2020-08-05, 107.38, 108.925, 106.82, 108.69, 2140272, 0.0
2020-08-06, 108.6963, 109.14, 106.59, 107.46, 1937160, 0.0
2020-08-09, 107.14, 107.3199, 105.43, 106.45, 1534794, 0.0
2020-08-10, 106.62, 107.67, 104.29, 104.61, 1867770, 0.0
2020-08-11, 104.67, 106.66, 104.12, 106.04, 1491480, 0.0
2020-08-12, 106, 106.49, 104.7, 105.57, 2129937, 0.0
2020-08-13, 105.5, 106.29, 104.98, 105.31, 878795, 0.0
2020-08-16, 106.5, 106.53, 104.56, 104.64, 1043198, 0.0
2020-08-17, 105, 105.19, 103, 103.23, 1629389, 0.0
2020-08-18, 103.46, 103.67, 102.07, 102.4, 1556364, 0.0
2020-08-19, 101.81, 102, 100.63, 101.34, 1759637, 0.0
2020-08-20, 101.23, 102, 100.5, 101.99, 1618707, 0.0
2020-08-23, 103, 103.279, 101.76, 102.5, 1566055, 0.0
2020-08-24, 102.5, 103.5, 102.025, 103.38, 1224802, 0.0
2020-08-25, 103.7, 105.31, 103.56, 104.97, 1632907, 0.0
2020-08-26, 105.22, 105.3, 103.08, 103.72, 1656842, 0.0
2020-08-27, 103.63, 105.37, 102.66, 104.9, 1651315, 0.0
2020-08-30, 104.79, 105.1327, 103.61, 104.05, 1088674, 0.0
2020-08-31, 104.16, 105.37, 103.64, 105.37, 1489769, 0.0
2020-09-01, 105.55, 109.3, 105.53, 108.85, 2146870, 0.0
2020-09-02, 107.44, 107.44, 102.54, 103.09, 2021235, 0.0
