Date, Open, High, Low, Close, Volume, OI
2020-06-10, 219.18, 232, 218.5, 221.92, 34012416, 0.0
2020-06-11, 224.79, 231.45, 224.0301, 224.49, 3580760, 0.0
2020-06-14, 227.84, 239.59, 226.38, 239.02, 13420162, 0.0
2020-06-15, 235.99, 243.5, 231.8206, 242.56, 21448456, 0.0
2020-06-16, 243.18, 243.86, 235.12, 236.75, 10429512, 0.0
2020-06-17, 240.39, 242.61, 238.22, 242.01, 15319515, 0.0
2020-06-18, 241.64, 243.54, 238.7035, 243.53, 7581499, 0.0
2020-06-21, 247.465, 254.9, 247.29, 251.13, 9939303, 0.0
2020-06-22, 251.26, 254.775, 247.57, 252.9, 7540872, 0.0
2020-06-23, 254.5, 258.75, 248.6, 255.78, 9658747, 0.0
2020-06-24, 258.23, 260.29, 252.6601, 259.74, 7262360, 0.0
2020-06-25, 260.52, 261.62, 250.36, 256.6, 9243336, 0.0
2020-06-28, 254.97, 255.9, 243.59, 248.64, 8225522, 0.0
2020-06-29, 249.87, 256.83, 248.35, 253.55, 6121497, 0.0
2020-06-30, 251.35, 261, 247.21, 259.23, 6571681, 0.0
2020-07-01, 261, 263.8, 258, 261.74, 5257151, 0.0
2020-07-05, 265, 275.08, 259.32, 260.9999, 11978870, 0.0
2020-07-06, 261.55, 266.45, 258.1, 262.095, 7208417, 0.0
2020-07-07, 263.8, 268.5281, 261.29, 266.29, 5603475, 0.0
2020-07-08, 269.01, 272.7, 264.22, 269.57, 5170676, 0.0
2020-07-09, 271.77, 278.16, 268.64, 275.86, 6005708, 0.0
2020-07-12, 278.63, 281, 256.3376, 260.3, 8869292, 0.0
2020-07-13, 260.96, 265.33, 240.45, 259.935, 8372461, 0.0
2020-07-14, 253.7, 257.5, 248.12, 256.14, 5854506, 0.0
2020-07-15, 250.39, 253, 243.43, 247.99, 5174421, 0.0
2020-07-16, 247.17, 250.9368, 241.29, 246.55, 4505322, 0.0
2020-07-19, 246.4865, 271.35, 245.99, 268.58, 9371800, 0.0
2020-07-20, 268.75, 269.75, 258.2, 260.44, 4662879, 0.0
2020-07-21, 261.95, 265.4, 255.81, 261.13, 4422285, 0.0
2020-07-22, 260.84, 264.9, 250.37, 251.29, 3272620, 0.0
2020-07-23, 246.2, 250.21, 237.2, 246.71, 4179842, 0.0
2020-07-26, 249.28, 252.97, 246.22, 252.32, 3211813, 0.0
2020-07-27, 252.7, 258.91, 251.32, 252.17, 3021817, 0.0
2020-07-28, 255.55, 259.93, 251.15, 252.37, 3192288, 0.0
2020-07-29, 250.3135, 256.3263, 239.32, 250, 7847174, 0.0
2020-07-30, 253.5, 255.2, 248.3601, 253.89, 3182448, 0.0
2020-08-02, 256.83, 271.1, 256.11, 267.98, 4933153, 0.0
2020-08-03, 268, 269.19, 262, 267.52, 2942455, 0.0
2020-08-04, 266.29, 275.0939, 262.52, 272.9, 4356908, 0.0
2020-08-05, 273.87, 274.48, 263.91, 268.26, 3499709, 0.0
2020-08-06, 266.45, 268, 252.79, 258.73, 4923565, 0.0
2020-08-09, 249.14, 253.6, 244.54, 249.81, 4253021, 0.0
2020-08-10, 245.48, 245.48, 230, 231.04, 9426840, 0.0
2020-08-11, 232.3, 239.4, 230.75, 236.87, 3794388, 0.0
2020-08-12, 238.15, 250.1, 238.15, 247.25, 4633799, 0.0
2020-08-13, 249.44, 252.4299, 242.4, 244.69, 3546698, 0.0
2020-08-16, 248.7, 267.94, 248.51, 266.14, 8775994, 0.0
2020-08-17, 271.72, 277.78, 265.5, 277, 6312399, 0.0
2020-08-18, 274.6849, 279.59, 270.3221, 273.5, 4504045, 0.0
2020-08-19, 274.45, 290.88, 273.99, 290.6998, 9150967, 0.0
2020-08-20, 291, 295.97, 286.9442, 289.68, 5015835, 0.0
2020-08-23, 293, 293.87, 274.1059, 282.27, 6343779, 0.0
2020-08-24, 279, 293.7216, 275.8101, 290.39, 4455461, 0.0
2020-08-25, 293, 302, 290.85, 295.14, 5510776, 0.0
2020-08-26, 295.69, 301.52, 290.33, 294.68, 5440075, 0.0
2020-08-27, 299.22, 303.58, 297.26, 299.12, 5093682, 0.0
2020-08-30, 304.01, 325.8998, 301.27, 325.25, 14356591, 0.0
2020-08-31, 439.51, 478, 410.68, 457.6276, 49983388, 0.0
2020-09-01, 445.67, 445.67, 410, 423.513, 18146552, 0.0
2020-09-02, 399.55, 409.9, 367, 381.37, 19698498, 0.0
