Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"155,816,636","20,474,305,970.40",14.180,Apple Inc,Common Stock,Information Technology,09/02/2020
QQQ,023135106,AMZN ,"4,482,669","15,830,321,440.05",10.964,Amazon.com Inc,Common Stock,Consumer Discretionary,09/02/2020
QQQ,594918104,MSFT ,"68,154,992","15,788,103,896.80",10.934,Microsoft Corp,Common Stock,Information Technology,09/02/2020
QQQ,30303M102,FB ,"21,610,527","6,537,184,417.50",4.527,Facebook Inc,Common Stock,Communication Services,09/02/2020
QQQ,02079K305,GOOGL ,"3,094,021","5,313,640,725.19",3.680,Alphabet Inc,Common Stock,Communication Services,09/02/2020
QQQ,02079K107,GOOG ,"3,021,204","5,221,486,449.12",3.616,Alphabet Inc,Common Stock,Communication Services,09/02/2020
QQQ,88160R101,TSLA ,"10,625,787","4,753,658,330.19",3.292,Tesla Inc,Common Stock,Consumer Discretionary,09/02/2020
QQQ,67066G104,NVDA ,"7,050,575","4,046,042,969.50",2.802,NVIDIA Corp,Common Stock,Information Technology,09/02/2020
QQQ,00724F101,ADBE ,"5,523,534","2,948,462,449.20",2.042,Adobe Inc,Common Stock,Information Technology,09/02/2020
QQQ,70450Y103,PYPL ,"13,460,993","2,837,846,544.26",1.965,PayPal Holdings Inc,Common Stock,Information Technology,09/02/2020
QQQ,64110L106,NFLX ,"5,042,068","2,787,456,873.12",1.931,Netflix Inc,Common Stock,Communication Services,09/02/2020
QQQ,458140100,INTC ,"48,540,112","2,536,220,852.00",1.757,Intel Corp,Common Stock,Information Technology,09/02/2020
QQQ,20030N101,CMCSA ,"52,216,818","2,358,633,669.06",1.634,Comcast Corp,Common Stock,Communication Services,09/02/2020
QQQ,713448108,PEP ,"15,906,766","2,279,280,500.14",1.579,PepsiCo Inc,Common Stock,Consumer Staples,09/02/2020
QQQ,17275R102,CSCO ,"48,405,935","2,053,379,762.70",1.422,Cisco Systems Inc,Common Stock,Information Technology,09/02/2020
QQQ,22160K105,COST ,"5,062,428","1,816,702,912.08",1.258,Costco Wholesale Corp,Common Stock,Consumer Staples,09/02/2020
QQQ,031162100,AMGN ,"6,743,874","1,740,728,756.88",1.206,Amgen Inc,Common Stock,Health Care,09/02/2020
QQQ,11135F101,AVGO ,"4,583,349","1,718,801,708.49",1.190,Broadcom Inc,Common Stock,Information Technology,09/02/2020
QQQ,872590104,TMUS ,"14,167,227","1,684,199,945.76",1.166,T-Mobile US Inc,Common Stock,Communication Services,09/02/2020
QQQ,747525103,QCOM ,"12,896,570","1,588,599,492.60",1.100,QUALCOMM Inc,Common Stock,Information Technology,09/02/2020
QQQ,882508104,TXN ,"10,521,669","1,553,419,211.16",1.076,Texas Instruments Inc,Common Stock,Information Technology,09/02/2020
QQQ,16119P108,CHTR ,"2,366,902","1,473,278,149.90",1.020,Charter Communications Inc,Common Stock,Communication Services,09/02/2020
QQQ,007903107,AMD ,"13,426,937","1,211,378,256.14",0.839,Advanced Micro Devices Inc,Common Stock,Information Technology,09/02/2020
